"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK EU","1","16","4","0.0144792097033505","0.0331068121693122","0.0255603749116507","0.0297203578198979"
"UK Health","2","15","11","0.00260057066931791","0.0466949298455828","-0.0127603909094623","0.0490508375578081"
"UK Monarchy","3","15","4","-0.00648680438114148","0.00516485588846819","-0.0110496586854968","-0.0201641540006231"
"UK General Election","4","15","4","-0.00970503396362284","0.0218399710462443","-0.00928320921209587","0.0246594254237978"
"Australia Republic Referendum","5","24","5","-0.121219584345733","-0.0811350734527818","-0.198940533267254","-0.173357354820782"
"UK Crime","6","20","5","-0.0188904505524224","-0.000932028190063884","-0.0348011415800143","-0.0192390542271097"
"Tomorrow's Europe (EU)","7","18","7","-0.00426512256602955","0.0364561396936397","-0.0112351106980427","0.0497027655592356"
"Central Power & Light","8","16","7","0.0022376405461315","0.0414811816253245","0.0237932037844813","0.116557099626201"
"Zeguo Township","9","16","9","-0.00349223892927736","0.0857794366676861","-0.0282027350071759","0.0733201868709126"
"Bulgarian National","10","17","5","-0.0130771297149852","0.102443415527043","-0.039020102885325","0.0863196007057127"
"Europolis","11","25","2","-0.0318968337218337","0.0198007774538387","-0.0726469610678843","0.00100568798199356"
"New Haven, CT","12","16","3","0.00439917970072337","0.036915922945454","-0.0105084870528955","0.0253746707644458"
"National Issues Convention 2","13","24","9","-0.0176079212216011","-0.00840327860749959","-0.0382791709737362","-0.0377137018265799"
"By the People: National","14","15","9","-0.0040572091883183","0.0155370542432522","-0.0039418602988892","0.0237778016872218"
"By the People 2004 US General Election","15","15","6","-0.00659207347979555","0.00948564148879516","-0.00996793001924284","0.0124291790627435"
"By the People 2004 US Presidential Primaries","16","16","3","0.0146352275623351","0.0236517407020699","0.0363090857988835","0.0492838834568696"
"San Mateo, CA","17","26","7","-0.0193571199183021","0.0449922497741578","-0.030744575373875","0.065439730664531"
"By the People: Health and Education","18","30","11","-0.00692861462959443","0.0166136230518947","-0.0163041353074358","0.00387875685759797"
"West Texas Utilities","19","14","7","-0.0174115243115836","0.00521560761915036","-0.0212155248525616","0.012312568137788"
"National Issues Convention","20","30","9","-0.00214901303646682","0.0373363010155513","-0.00628120638578886","0.0456996398951271"
"Southwestern Electric Power","21","14","7","-0.0297308635636316","-0.00189945745166629","-0.0379696544680781","0.000974690412744676"
