"pollnum","pollname","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"1","UK EU","16","4","0.515625","0.0331068121693122","0.46875","0.0144792097033505","0.0644235161255549","0.0392943677101653","0.062870923137731","0.0538089748275206"
"2","UK Health","15","11","0.582089552238806","0.0466949298455828","0.443609022556391","0.00260057066931791","0.04276718802456","0.0127459827118813","0.0517646289812789","0.00808927493293378"
"3","UK Monarchy","15","4","0.533333333333333","0.00516485588846819","0.516666666666667","-0.00648680438114148","0.0720082299191236","0.0155545936954786","0.065058281853003","0.0119929538316492"
"4","UK General Election","15","4","0.5","0.0218399710462443","0.416666666666667","-0.00970503396362284","0.0793492030055241","0.0156501572964622","0.0833333334285407","0.0190441280339955"
"5","Australia Republic Referendum","24","5","0.333333333333333","-0.0811350734527818","0.25","-0.121219584345733","0.12500000015321","0.0900398636077582","0.083333335091274","0.090293316022626"
"6","UK Crime","20","5","0.44","-0.000932028190063884","0.360824742268041","-0.0188904505524224","0.0498887651569859","0.00847291796646876","0.0490142674419104","0.00602311764629285"
"7","Tomorrow's Europe (EU)","18","7","0.6","0.0364561396936397","0.46031746031746","-0.00426512256602955","0.0650959896381881","0.0138181565249872","0.0714285715378376","0.0142445034366552"
"8","Central Power & Light","16","7","0.635416666666667","0.0414811816253245","0.479166666666667","0.0022376405461315","0.0493816849053732","0.0112200350130223","0.0658807846034222","0.0100307663108581"
"9","Zeguo Township","16","9","0.537313432835821","0.0857794366676861","0.483333333333333","-0.00349223892927736","0.0822535071181277","0.019771326017076","0.0458094539270476","0.011496874949003"
"10","Bulgarian National","17","5","0.502645502645503","0.102443415527043","0.431578947368421","-0.0130771297149852","0.0443611753973204","0.0319325153399507","0.0390753861635451","0.0177639071334287"
"11","Europolis","25","2","0.448979591836735","0.0198007774538387","0.26","-0.0318968337218337","0.071792077956481","0.0242545951645672","0.0626620348556037","0.0169167565587156"
"12","New Haven, CT","16","3","0.59375","0.036915922945454","0.5","0.00439917970072337","0.0882099653319905","0.0264174869206799","0.125000016911567","0.0333477579176426"
"13","National Issues Convention 2","24","9","0.479591836734694","-0.00840327860749959","0.446700507614213","-0.0176079212216011","0.0642533732425385","0.010263431261109","0.0414386343724729","0.00862623077113651"
"14","By the People: National","15","9","0.474074074074074","0.0155370542432522","0.462686567164179","-0.0040572091883183","0.0431353169675057","0.012284325084376","0.0432346028683972","0.00764630657066155"
"15","By the People 2004 US General Election","15","6","0.533333333333333","0.00948564148879516","0.411111111111111","-0.00659207347979555","0.0750308584734476","0.00938870679668934","0.0630500467228301","0.0119818794086094"
"16","By the People 2004 US Presidential Primaries","16","3","0.645833333333333","0.0236517407020699","0.541666666666667","0.0146352275623351","0.075115614475342","0.0159397712339528","0.0751156508722223","0.0121901184910096"
"17","San Mateo, CA","26","7","0.606060606060606","0.0449922497741578","0.46","-0.0193571199183021","0.0743277893277686","0.0206019434100612","0.0500908265962033","0.0170608288219175"
"18","By the People: Health and Education","30","11","0.480122324159021","0.0166136230518947","0.46583850931677","-0.00692861462959443","0.0417371881629451","0.00577114294295479","0.0278420664133058","0.0044986980696821"
"19","West Texas Utilities","14","7","0.542168674698795","0.00521560761915036","0.493975903614458","-0.0174115243115836","0.0550190435849425","0.0150930017225067","0.0552117553609138","0.0140847917229242"
"20","National Issues Convention","30","9","0.566037735849057","0.0373363010155513","0.503787878787879","-0.00214901303646682","0.0316066820076139","0.00857725265010756","0.0352445507657239","0.00725412674508103"
"21","Southwestern Electric Power","14","7","0.481927710843373","-0.00189945745166629","0.409638554216867","-0.0297308635636316","0.0602030061381396","0.0154452414215603","0.0810850722644917","0.0141033410694461"
NA,"Mean","18.9047619047619","6.38095238095238","0.52531600199888","0.0233402772883549","0.441253295444561","-0.0130721766353562","0.0121927872743084","0.00272287134451856","0.0112062118445184","0.0021864709231918"
NA,"Weighted Mean (By Indices and Groups)","20.9762093414808","7.56926320904579","0.523492966688196","0.0234563360177736","0.447316817958437","-0.0132877737876087","0.0145679260642653","0.00529416280886381","0.0121524370709943","0.00503564897990953"
NA,NA,NA,NA,NA,NA,NA,NA,"0.108088103586889","9.35276682545449e-06","1.61744898523608e-05","0.00827284178944454"
"","Precision Wtd Mean","","","0.530352254279001","0.0198282352195049","0.450263541107187","-0.00801826138802364","0.0179570795037393","0.00458873844582906","0.0172024831093416","0.00348957953436759"
