"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK EU","1","16","4","-0.0133217948607425","-0.000895647321428587","-0.0298555386466758","-0.0299072748113896"
"UK Health","2","15","11","0.0163744524485855","0.0598302386875148","0.0334821538429757","0.0978643715833525"
"UK Monarchy","3","15","4","0.00463123845767894","0.0311913242279303","0.00259711085605054","0.034645004403751"
"UK General Election","4","15","4","-0.00598550782745887","0.0278748326170733","0.0147085563962596","0.0594205848381434"
"Australia Republic Referendum","5","24","5","-0.110325355344887","-0.0769503066378066","-0.175864474918654","-0.142061393206224"
"UK Crime","6","20","5","-0.00189331457281325","0.00672044593738993","-0.0170786566129591","-0.0177516443414228"
"Tomorrow's Europe (EU)","7","18","7","-0.0165024119036107","0.0218984402634403","-0.0159317495204499","0.0389314951074913"
"Central Power & Light","8","16","7","0.0202381740845837","0.0713710147040054","0.0500308438283955","0.131484626341067"
"Zeguo Township","9","16","9","0.0205494242404041","0.0491741236550749","0.037896754291742","0.0805029352600443"
"Bulgarian National","10","17","5","-0.0177938362152278","0.0483796963564756","-0.00948010906308176","0.0853739601792447"
"Europolis","11","25","2","0.00405449742334495","0.0370044099891039","0.0181600433062259","0.0611260079567777"
"New Haven, CT","12","16","3","-0.0438507585436611","-0.0342268514633179","-0.0629745177756057","-0.0475541378971829"
"National Issues Convention 2","13","24","9","-1.52229737368219e-05","0.026646724971496","-0.00504972907565761","0.0258533689055044"
"By the People: National","14","15","9","0.00426194841772932","0.023762697220783","0.00978505798481421","0.0360553620071138"
"By the People 2004 US General Election","15","15","6","-0.0136167709648615","0.0107146038452524","-0.0238279776324753","0.00626508243552348"
"By the People 2004 US Presidential Primaries","16","16","3","0.0269443816749503","0.0462748817048371","0.0641708124090979","0.0848234436674853"
"San Mateo, CA","17","26","7","0.000564568969789202","0.0924100510992464","0.0106663433534338","0.0993505970179959"
"By the People: Health and Education","18","30","11","-0.00305239295849127","0.0207976512861106","0.00277813014159039","0.0234600138338321"
"West Texas Utilities","19","14","7","0.00663540796681163","0.0481996248625713","0.0340643503314882","0.0798673180373289"
"National Issues Convention","20","30","9","0.00256426656939935","0.046517216777322","0.00666557981303456","0.0745535167382727"
"Southwestern Electric Power","21","14","7","0.0132338430686867","0.0530639239822913","0.0821366272089283","0.145470361230326"
