"pollname","pollnum","ngroups","nindices","n_pairs","n_dis","n_group","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,9,135,132,132,0.537878787878788,0.0377976319240524,0.462121212121212,-0.00673254120885304
"UK General Election",4,15,4,60,60,60,0.483333333333333,0.00332658725480241,0.45,0.00527107892968828
"Australia Republic Referendum",5,24,2,48,47,47,0.48936170212766,0.0411977231791062,0.48936170212766,-0.0040024174997579
"Central Power & Light",8,16,6,96,96,96,0.635416666666667,0.043961917597814,0.458333333333333,0.00418402600283082
"Bulgarian National",10,17,12,204,198,198,0.565656565656566,0.0322975844039609,0.474747474747475,-0.0108169410117079
"New Haven, CT",12,16,2,30,28,28,0.392857142857143,-0.00744685372020922,0.25,-0.0549504125577946
"National Issues Convention 2",13,24,9,216,216,216,0.574074074074074,0.0313261490686893,0.527777777777778,0.00301298403790446
"By the People: National",14,15,9,135,133,133,0.526315789473684,0.00830388740977245,0.458646616541353,-0.0083614393012335
"By the People 2004 US General Election",15,15,6,90,90,90,0.433333333333333,0.000394589046202394,0.388888888888889,-0.0139431736187932
"By the People 2004 US Presidential Primaries",16,16,3,48,48,48,0.625,0.0310722744355358,0.666666666666667,0.0216591255923783
"San Mateo, CA",17,26,4,100,96,96,0.520833333333333,0.107436342767647,0.572916666666667,0.031172839848438
"Pair Mean (Actual Pairs)",NA,197,66,1162,1144,1144,0.541958041958042,0.0325556519693918,0.483391608391608,-0.00150626359145495
