"pollnum","pollname","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"2","UK Health","15","11","0.580152671755725","0.058978336390073","0.515151515151515","0.00673254120885303","0.0432857721526297","0.0131012830560968","0.0436651407411406","0.00849997370707307"
"4","UK General Election","15","4","0.466666666666667","-0.00922852988749177","0.55","-0.00527107892968828","0.0720082298966762","0.0171451770730541","0.0876651925637881","0.0148708319365046"
"5","Australia Republic Referendum","24","5","0.458333333333333","0.0489796902557319","0.468085106382979","0.0040024174997579","0.0726788167342538","0.0351667094690406","0.0735706462561835","0.0357702938902987"
"8","Central Power & Light","16","7","0.602150537634409","0.0456148055073965","0.536842105263158","-0.004228068381808","0.0510291122856655","0.0143095321213609","0.0766374749289427","0.010329385912777"
"10","Bulgarian National","17","5","0.646464646464647","0.124038633790255","0.502487562189055","0.0106554941309362","0.0340608672354715","0.0240193325882189","0.0353549015013729","0.0121848998543844"
"12","New Haven, CT","16","3","0.620689655172414","0.092456896037891","0.689655172413793","0.0530555707454569","0.0916970959063364","0.029339551021724","0.0928140489560051","0.0275234353214678"
"13","National Issues Convention 2","24","9","0.537735849056604","0.022527594839912","0.469767441860465","-0.00302699791715053","0.03438749102951","0.00905745511143757","0.0341167588678416","0.00837847055982881"
"14","By the People: National","15","9","0.572519083969466","0.0319865330263931","0.529850746268657","0.00829904050047805","0.043389203057924","0.015757790518219","0.0432781641921609","0.00885764078415966"
"15","By the People 2004 US General Election","15","6","0.522222222222222","0.0251852178651017","0.611111111111111","0.0139431736187932","0.0529475225507682","0.00983129446253469","0.05282165673889","0.00796491778110753"
"16","By the People 2004 US Presidential Primaries","16","3","0.48936170212766","-0.00618721682369366","0.333333333333333","-0.0216591255923784","0.073704289683782","0.0153421753437529","0.0687614164172529","0.0110325035777748"
"17","San Mateo, CA","26","7","0.434343434343434","0.0398816188186627","0.404040404040404","-0.0323927103912857","0.0500702787096608","0.020548533422726","0.0495687273804262","0.0170142092148889"
NA,"Weighted Mean (By Indices and Groups)","19.1868612771614","7.15676450395532","0.534800193428344","0.0425251699405157","0.498751914559766","-0.000472415125476647","0.0161338119708623","0.00593042006233637","0.0170710192919922","0.00504256938302987"
NA,"Mean","18.0909090909091","6.27272727272727","0.539149072976962","0.043112143620021","0.510029499819497","0.00273729604472403","0.0147485017173895","0.00442829710214827","0.0152575553572591","0.0033150334908911"
NA,NA,NA,NA,NA,NA,NA,NA,"0.032948070743421","7.96362975563625e-13","0.894539587155143","0.880001681639197"
"","Precision Wtd Mean","","","0.556229150947731","0.0319473315931524","0.498677005250967","0.0018379874160183","0.0147485017173895","0.00442829710214827","0.0152575553572591","0.0033150334908911"
