"measure","sample","estimate","se","df","conf_low","conf_high","p","n_pairs","n_polls"
"H","available",0.0128493544739435,0.00311221149494293,13.8595300038354,0.00616797212911314,0.0195307368187738,0.00104400498138317,2480,21
"H","paired",0.0122898507245912,0.00308961560397729,13.8595300038354,0.00565697786801664,0.0189227235811657,0.0014003221963525,2480,21
"P","available",-0.0222107255855015,0.008379700556135,13.9485489880194,-0.0401896172862225,-0.0042318338847805,0.0190558064808533,2431,21
"P","paired",-0.0223657086242337,0.0085648934930642,13.9674404981563,-0.0407395963886206,-0.00399182085984686,0.0205505264951108,2434,21
"D_gender","available",0.00175429996191233,0.00352039543651967,13.9207751201194,-0.00580023066433894,0.0093088305881636,0.62603574051083,2436,21
"D_gender","paired",0.00191699130277189,0.00329895938694906,13.9317777593511,-0.00516182482243263,0.00899580742797642,0.570461948234409,2433,21
"D_educ","available",0.0100425158300509,0.00313244695460156,14.0098249877648,0.00332452729815974,0.016760504361942,0.00633996623012214,2385,21
"D_educ","paired",0.0110742703242359,0.00343507391326815,14.0082863791507,0.00370717836574424,0.0184413622827275,0.00611869553975944,2383,21
"D_income","available",0.00150626359145496,0.00418917325863058,7.39939491719995,-0.00829219077858364,0.0113047179614936,0.72921930245543,1144,11
"D_income","paired",0.00293742199399318,0.0038710122089396,7.42650376963722,-0.00611057200329121,0.0119854159912776,0.471350570360689,1135,11
"D_triple","available",0.0128518499469044,0.00593830842749608,7.50415982653461,-0.00100102047783196,0.0267047203716408,0.0645976792508518,983,11
"D_triple","paired",0.0139833839509571,0.00539817685182259,7.503131044882,0.00139020782438087,0.0265765600775334,0.0338556482596712,972,11
