"poll_id","source_poll_id","poll_name","issue_id","group_key","pair_id","dimension","group_id","adv_t1","dis_t1","adv_t2","dis_t2","grp_t1","grp_t2","disadvantaged_share","n_eligible","reference_tie","no_group_movement","ext_grp","ext_dis","ext_grp_mir","ext_adv_mir","ext_adv","adv_t1_paired","dis_t1_paired","adv_t2_paired","dis_t2_paired","grp_t1_paired","grp_t2_paired","disadvantaged_share_paired","n_eligible_paired","reference_tie_paired","no_group_movement_paired","ext_grp_paired","ext_dis_paired","ext_grp_mir_paired","ext_adv_mir_paired","ext_adv_paired","freqgrp_grp","freqdis_grp","freqgrp_mir","freqadv_mir","freqadv_grp"
12,91,"New Haven","nh.t1manvol","12:9101","12:9101::nh.t1manvol","educ","9101",0.3875,0.5625,0.2375,0.375,0.416666666666667,0.260416666666667,0.166666666666667,6,FALSE,FALSE,0.15625,0.1875,-0.15625,-0.15,0.15,0.3875,0.5625,0.2375,0.375,0.416666666666667,0.260416666666667,0.166666666666667,6,FALSE,FALSE,0.15625,0.1875,-0.15625,-0.15,0.15,TRUE,TRUE,FALSE,FALSE,TRUE
12,91,"New Haven","nh.t1manvol","12:9102","12:9102::nh.t1manvol","educ","9102",0.453125,0.4375,0.328125,0.125,0.446428571428571,0.241071428571429,0.428571428571429,7,FALSE,FALSE,-0.205357142857143,-0.3125,0.205357142857143,0.125,-0.125,0.453125,0.4375,0.328125,0.125,0.446428571428571,0.241071428571429,0.428571428571429,7,FALSE,FALSE,-0.205357142857143,-0.3125,0.205357142857143,0.125,-0.125,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9103","12:9103::nh.t1manvol","educ","9103",0.5,0.25,0.2375,0.09375,0.428571428571429,0.196428571428571,0.285714285714286,7,FALSE,FALSE,-0.232142857142857,-0.15625,0.232142857142857,0.2625,-0.2625,0.5,0.25,0.2375,0.09375,0.428571428571429,0.196428571428571,0.285714285714286,7,FALSE,FALSE,-0.232142857142857,-0.15625,0.232142857142857,0.2625,-0.2625,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9104","12:9104::nh.t1manvol","educ","9104",0.390625,0.390625,0.2578125,0.421875,0.390625,0.3125,0.333333333333333,12,TRUE,FALSE,NA,NA,NA,NA,NA,0.390625,0.390625,0.2578125,0.421875,0.390625,0.3125,0.333333333333333,12,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,91,"New Haven","nh.t1manvol","12:9105","12:9105::nh.t1manvol","educ","9105",0.328125,0.354166666666667,0.203125,0.239583333333333,0.34375,0.225,0.6,10,FALSE,FALSE,0.11875,0.114583333333333,-0.11875,-0.125,0.125,0.328125,0.354166666666667,0.203125,0.239583333333333,0.34375,0.225,0.6,10,FALSE,FALSE,0.11875,0.114583333333333,-0.11875,-0.125,0.125,TRUE,TRUE,FALSE,FALSE,TRUE
12,91,"New Haven","nh.t1manvol","12:9106","12:9106::nh.t1manvol","educ","9106",0.5,0.395833333333333,0.625,0.270833333333333,0.421875,0.359375,0.75,4,FALSE,FALSE,-0.0625,-0.125,0.0625,-0.125,0.125,0.5,0.395833333333333,0.625,0.270833333333333,0.421875,0.359375,0.75,4,FALSE,FALSE,-0.0625,-0.125,0.0625,-0.125,0.125,FALSE,FALSE,TRUE,FALSE,TRUE
12,91,"New Haven","nh.t1manvol","12:9107","12:9107::nh.t1manvol","educ","9107",0.482142857142857,0.375,0.339285714285714,0.1875,0.45,0.29375,0.3,10,FALSE,FALSE,-0.15625,-0.1875,0.15625,0.142857142857143,-0.142857142857143,0.482142857142857,0.375,0.339285714285714,0.1875,0.45,0.29375,0.3,10,FALSE,FALSE,-0.15625,-0.1875,0.15625,0.142857142857143,-0.142857142857143,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9108","12:9108::nh.t1manvol","educ","9108",0.447916666666667,0.4375,0.395833333333333,0.40625,0.4453125,0.3984375,0.25,8,FALSE,FALSE,-0.046875,-0.03125,0.046875,0.0520833333333334,-0.0520833333333334,0.447916666666667,0.4375,0.395833333333333,0.40625,0.4453125,0.3984375,0.25,8,FALSE,FALSE,-0.046875,-0.03125,0.046875,0.0520833333333334,-0.0520833333333334,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9109","12:9109::nh.t1manvol","educ","9109",0.46875,0.4125,0.234375,0.35,0.4375,0.298611111111111,0.555555555555556,9,FALSE,FALSE,-0.138888888888889,-0.0625,0.138888888888889,0.234375,-0.234375,0.46875,0.4125,0.234375,0.35,0.4375,0.298611111111111,0.555555555555556,9,FALSE,FALSE,-0.138888888888889,-0.0625,0.138888888888889,0.234375,-0.234375,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9110","12:9110::nh.t1manvol","educ","9110",0.392857142857143,0.625,0.241071428571429,0.5625,0.421875,0.28125,0.125,8,FALSE,FALSE,0.140625,0.0625,-0.140625,-0.151785714285714,0.151785714285714,0.392857142857143,0.625,0.241071428571429,0.5625,0.421875,0.28125,0.125,8,FALSE,FALSE,0.140625,0.0625,-0.140625,-0.151785714285714,0.151785714285714,TRUE,TRUE,FALSE,FALSE,TRUE
12,91,"New Haven","nh.t1manvol","12:9111","12:9111::nh.t1manvol","educ","9111",0.392857142857143,0.3125,0.241071428571429,0.15625,0.363636363636364,0.210227272727273,0.363636363636364,11,FALSE,FALSE,-0.153409090909091,-0.15625,0.153409090909091,0.151785714285714,-0.151785714285714,0.392857142857143,0.3125,0.241071428571429,0.15625,0.363636363636364,0.210227272727273,0.363636363636364,11,FALSE,FALSE,-0.153409090909091,-0.15625,0.153409090909091,0.151785714285714,-0.151785714285714,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9112","12:9112::nh.t1manvol","educ","9112",0.4125,0.5,0.275,0.395833333333333,0.4453125,0.3203125,0.375,8,FALSE,FALSE,0.125,0.104166666666667,-0.125,-0.1375,0.1375,0.4125,0.5,0.275,0.395833333333333,0.4453125,0.3203125,0.375,8,FALSE,FALSE,0.125,0.104166666666667,-0.125,-0.1375,0.1375,TRUE,TRUE,FALSE,FALSE,TRUE
12,91,"New Haven","nh.t1manvol","12:9113","12:9113::nh.t1manvol","educ","9113",0.484375,0.34375,0.3125,0.28125,0.4375,0.302083333333333,0.333333333333333,6,FALSE,FALSE,-0.135416666666667,-0.0625,0.135416666666667,0.171875,-0.171875,0.484375,0.34375,0.3125,0.28125,0.4375,0.302083333333333,0.333333333333333,6,FALSE,FALSE,-0.135416666666667,-0.0625,0.135416666666667,0.171875,-0.171875,FALSE,FALSE,TRUE,TRUE,FALSE
12,91,"New Haven","nh.t1manvol","12:9114","12:9114::nh.t1manvol","educ","9114",0.40625,0.5,0.546875,0.333333333333333,0.446428571428571,0.455357142857143,0.428571428571429,7,FALSE,FALSE,-0.0089285714285714,0.166666666666667,0.0089285714285714,0.140625,-0.140625,0.40625,0.5,0.546875,0.333333333333333,0.446428571428571,0.455357142857143,0.428571428571429,7,FALSE,FALSE,-0.0089285714285714,0.166666666666667,0.0089285714285714,0.140625,-0.140625,FALSE,TRUE,TRUE,TRUE,FALSE
