"unique_id","poll_id","poll_name","group_id","freqgrp_grp","extgrp_grp","freqdis_grp","extdis_grp"
"2207ukhealth.t1pritre",2,"UK Health",2207,TRUE,0.106060606060606,FALSE,0
"2208ukhealth.t1pritre",2,"UK Health",2208,TRUE,0.0180555555555555,FALSE,-0.0277777777777777
"2209ukhealth.t1pritre",2,"UK Health",2209,FALSE,-0.0645604395604396,FALSE,-0.1
"2210ukhealth.t1pritre",2,"UK Health",2210,FALSE,-0.0868055555555554,TRUE,0.013888888888889
"2211ukhealth.t1pritre",2,"UK Health",2211,TRUE,0.0293040293040293,TRUE,0.0624999999999999
"2212ukhealth.t1pritre",2,"UK Health",2212,FALSE,-0.104166666666666,FALSE,-0.333333333333333
"2213ukhealth.t1pritre",2,"UK Health",2213,FALSE,-0.0769230769230769,FALSE,0
"2214ukhealth.t1pritre",2,"UK Health",2214,TRUE,0.0565972222222223,FALSE,-0.25
"2201ukhealth.t1severi",2,"UK Health",2201,TRUE,0.274305555555556,TRUE,0.083333333333333
"2204ukhealth.t1severi",2,"UK Health",2204,TRUE,0.147916666666667,TRUE,0.145833333333333
"2205ukhealth.t1severi",2,"UK Health",2205,FALSE,-0.14957264957265,FALSE,-0.166666666666667
"2206ukhealth.t1severi",2,"UK Health",2206,FALSE,-0.117673992673993,TRUE,0.166666666666667
"2207ukhealth.t1severi",2,"UK Health",2207,TRUE,0.0795454545454548,FALSE,-0.083333333333333
"2208ukhealth.t1severi",2,"UK Health",2208,TRUE,0.0621794871794873,NA,NA
"2209ukhealth.t1severi",2,"UK Health",2209,TRUE,0.0494505494505495,TRUE,0.108333333333333
"2210ukhealth.t1severi",2,"UK Health",2210,TRUE,0.119444444444444,FALSE,-0.0555555555555553
"2211ukhealth.t1severi",2,"UK Health",2211,TRUE,0.159340659340659,TRUE,0.46875
"2212ukhealth.t1severi",2,"UK Health",2212,TRUE,0.00653594771241844,FALSE,-0.25
"2213ukhealth.t1severi",2,"UK Health",2213,TRUE,0.0833333333333334,FALSE,-0.166666666666667
"2214ukhealth.t1severi",2,"UK Health",2214,TRUE,0.151785714285715,TRUE,0.041666666666667
"2201ukhealth.t1preven",2,"UK Health",2201,TRUE,0.0721153846153846,FALSE,0
"2204ukhealth.t1preven",2,"UK Health",2204,TRUE,0.101648351648352,FALSE,0
"2205ukhealth.t1preven",2,"UK Health",2205,FALSE,-0.030448717948718,FALSE,0
"2206ukhealth.t1preven",2,"UK Health",2206,FALSE,-0.0880952380952381,TRUE,0.125
"2207ukhealth.t1preven",2,"UK Health",2207,FALSE,-0.0732323232323232,FALSE,0
"2208ukhealth.t1preven",2,"UK Health",2208,FALSE,-0.0535714285714285,TRUE,0.0833333333333334
"2209ukhealth.t1preven",2,"UK Health",2209,FALSE,-0.0714285714285714,FALSE,-0.2
"2210ukhealth.t1preven",2,"UK Health",2210,TRUE,0.0681818181818182,TRUE,0.333333333333333
"2211ukhealth.t1preven",2,"UK Health",2211,TRUE,0.342948717948718,TRUE,0.6875
"2212ukhealth.t1preven",2,"UK Health",2212,NA,NA,TRUE,0.75
"2213ukhealth.t1preven",2,"UK Health",2213,TRUE,0.157342657342657,TRUE,0.25
"2214ukhealth.t1preven",2,"UK Health",2214,TRUE,0.0333333333333333,TRUE,0.75
"2201ukhealth.t1dispub",2,"UK Health",2201,FALSE,-0.00699300699300698,TRUE,0.5
"2204ukhealth.t1dispub",2,"UK Health",2204,TRUE,0.0178571428571429,TRUE,0.25
"2205ukhealth.t1dispub",2,"UK Health",2205,TRUE,0.0615384615384615,FALSE,0
"2206ukhealth.t1dispub",2,"UK Health",2206,TRUE,0.115384615384615,FALSE,0
"2207ukhealth.t1dispub",2,"UK Health",2207,TRUE,0.0454545454545454,FALSE,0
"2208ukhealth.t1dispub",2,"UK Health",2208,FALSE,0,FALSE,0
"2209ukhealth.t1dispub",2,"UK Health",2209,TRUE,0.0714285714285715,TRUE,0.15
"2210ukhealth.t1dispub",2,"UK Health",2210,TRUE,0.166666666666667,NA,NA
"2211ukhealth.t1dispub",2,"UK Health",2211,FALSE,-0.107142857142857,FALSE,-0.1875
"2212ukhealth.t1dispub",2,"UK Health",2212,FALSE,-0.122549019607843,FALSE,0
"2213ukhealth.t1dispub",2,"UK Health",2213,TRUE,0.0625,TRUE,0.25
"2214ukhealth.t1dispub",2,"UK Health",2214,TRUE,0.0958333333333333,TRUE,0.5
"2501ukbge.t1redist",4,"UK General Election",2501,TRUE,0.0993333319822947,TRUE,0.0533333222071327
"2502ukbge.t1redist",4,"UK General Election",2502,FALSE,-0.055238093648638,FALSE,-0.056666672229767
"2503ukbge.t1redist",4,"UK General Election",2503,TRUE,0.0237916696816683,TRUE,0.33500000834465
"2504ukbge.t1redist",4,"UK General Election",2504,TRUE,0.0697619098992577,TRUE,0.116666684548061
"2505ukbge.t1redist",4,"UK General Election",2505,FALSE,-0.0336842034992417,TRUE,0.084999993443489
"2506ukbge.t1redist",4,"UK General Election",2506,TRUE,0.0219999988873799,TRUE,0.5
"2507ukbge.t1redist",4,"UK General Election",2507,FALSE,-0.156250002793968,FALSE,0
"2508ukbge.t1redist",4,"UK General Election",2508,TRUE,0.0439999987681707,TRUE,0.164999976754188
"2509ukbge.t1redist",4,"UK General Election",2509,TRUE,0.043529408326482,FALSE,-0.0320000022649767
"2511ukbge.t1redist",4,"UK General Election",2511,FALSE,-0.0702205904047279,TRUE,0.329999983310699
"2512ukbge.t1redist",4,"UK General Election",2512,TRUE,0.0483333377374545,TRUE,0.170000016689301
"2513ukbge.t1redist",4,"UK General Election",2513,TRUE,0.167385618476307,TRUE,0.16499999165535
"2514ukbge.t1redist",4,"UK General Election",2514,FALSE,-0.0431578920075767,FALSE,-0.170000011722247
"2515ukbge.t1redist",4,"UK General Election",2515,TRUE,0.153846153846154,TRUE,0.22333333392938
"2501ukbge.t1tax",4,"UK General Election",2501,FALSE,-0.110666666428248,TRUE,0.0833333333333334
"2502ukbge.t1tax",4,"UK General Election",2502,FALSE,-0.0276190468243189,TRUE,0.0833333333333333
"2503ukbge.t1tax",4,"UK General Election",2503,FALSE,-0.0579166645805042,TRUE,0.21000000834465
"2504ukbge.t1tax",4,"UK General Election",2504,FALSE,-0.126238097463335,NA,NA
"2505ukbge.t1tax",4,"UK General Election",2505,FALSE,-0.141666662274745,FALSE,-0.125
"2506ukbge.t1tax",4,"UK General Election",2506,FALSE,-0.0268333375453951,TRUE,0.169999986886978
"2507ukbge.t1tax",4,"UK General Election",2507,TRUE,0.139999996870756,TRUE,0.25
"2508ukbge.t1tax",4,"UK General Election",2508,TRUE,0.0922380931320644,FALSE,-0.045000016689301
"2509ukbge.t1tax",4,"UK General Election",2509,TRUE,0.249669119715691,TRUE,0.25
"2511ukbge.t1tax",4,"UK General Election",2511,TRUE,0.0672058804946787,TRUE,0.25
"2512ukbge.t1tax",4,"UK General Election",2512,TRUE,0.00888888703452206,TRUE,0.079999983310699
"2513ukbge.t1tax",4,"UK General Election",2513,TRUE,0.131805549065272,TRUE,0.28999999165535
"2514ukbge.t1tax",4,"UK General Election",2514,TRUE,0.13879256702429,TRUE,0.276666661103566
"2515ukbge.t1tax",4,"UK General Election",2515,FALSE,-0.13326923434551,TRUE,0.0566666622956593
"2501ukbge.t1wage",4,"UK General Election",2501,TRUE,0.00609523696558811,TRUE,0.0533333321412403
"2502ukbge.t1wage",4,"UK General Election",2502,TRUE,0.158095236335482,TRUE,0.27666666607062
"2503ukbge.t1wage",4,"UK General Election",2503,FALSE,-0.104642856200891,FALSE,-1.49011615269146e-08
"2504ukbge.t1wage",4,"UK General Election",2504,FALSE,-0.0886666675408682,FALSE,-9.93410764760227e-09
"2505ukbge.t1wage",4,"UK General Election",2505,FALSE,-0.125526319557463,FALSE,-0.16499999165535
"2506ukbge.t1wage",4,"UK General Election",2506,FALSE,-0.0993333299954732,FALSE,0
"2507ukbge.t1wage",4,"UK General Election",2507,FALSE,-0.00250000115483995,TRUE,0.329999983310699
"2508ukbge.t1wage",4,"UK General Election",2508,TRUE,0.0986190546126594,TRUE,0.0850000083446505
"2509ukbge.t1wage",4,"UK General Election",2509,FALSE,-0.0569411720130957,FALSE,-0.131999984383583
"2511ukbge.t1wage",4,"UK General Election",2511,FALSE,-0.0616862757533204,TRUE,0.170000016689301
"2512ukbge.t1wage",4,"UK General Election",2512,FALSE,-0.000588239992366235,FALSE,-0.170000016689301
"2513ukbge.t1wage",4,"UK General Election",2513,TRUE,0.0263071879257563,TRUE,0.244999974966049
"2514ukbge.t1wage",4,"UK General Election",2514,FALSE,-0.0578070166166763,FALSE,-0.0533333222071327
"2515ukbge.t1wage",4,"UK General Election",2515,TRUE,0.0297802252756371,FALSE,-0.059999997417132
"2501ukbge.t1eu",4,"UK General Election",2501,TRUE,0.0124999980131784,TRUE,0.18999999264876
"2502ukbge.t1eu",4,"UK General Election",2502,FALSE,-0.116552632968677,FALSE,-0.0600000172853473
