"unique_id","poll_id","group_id","freqgrp_grp","extgrp_grp","freqdis_grp","extdis_grp"
"2001ukeu.eurelat1g",1,2001,FALSE,-0.0294444444444444,FALSE,-0.0593750000000001
"2002ukeu.eurelat1g",1,2002,FALSE,-0.103508771929825,TRUE,0.00555555555555542
"2003ukeu.eurelat1g",1,2003,TRUE,0.0816391941391939,TRUE,0.0916666666666665
"2004ukeu.eurelat1g",1,2004,TRUE,0.112606837606838,TRUE,0.11087962962963
"2005ukeu.eurelat1g",1,2005,TRUE,0.0325396825396825,TRUE,0.075
"2006ukeu.eurelat1g",1,2006,TRUE,0.00989583333333344,TRUE,0.097878787878788
"2007ukeu.eurelat1g",1,2007,FALSE,-0.05375,FALSE,-0.0930555555555556
"2008ukeu.eurelat1g",1,2008,TRUE,0.125757575757576,TRUE,0.126190476190476
"2009ukeu.eurelat1g",1,2009,TRUE,0.242628205128205,TRUE,0.255833333333333
"2010ukeu.eurelat1g",1,2010,FALSE,-0.067326388888889,FALSE,-0.00317460317460322
"2011ukeu.eurelat1g",1,2011,TRUE,0.0151709401709402,TRUE,0.0395502645502647
"2012ukeu.eurelat1g",1,2012,FALSE,-0.0492424242424243,FALSE,-0.0513888888888888
"2013ukeu.eurelat1g",1,2013,FALSE,-0.0906250000000002,FALSE,-0.0871794871794874
"2014ukeu.eurelat1g",1,2014,TRUE,0.0147893772893772,TRUE,0.0418154761904762
"2015ukeu.eurelat1g",1,2015,FALSE,-0.049537037037037,TRUE,0.0123015873015874
"2099ukeu.eurelat1g",1,2099,TRUE,0.355555555555555,TRUE,0.375
"2001ukeu.euscope1g",1,2001,FALSE,-0.236111111111111,FALSE,-0.171875
"2002ukeu.euscope1g",1,2002,FALSE,-0.221491228070176,FALSE,-0.189814814814815
"2003ukeu.euscope1g",1,2003,FALSE,-0.208333333333333,FALSE,-0.226851851851852
"2004ukeu.euscope1g",1,2004,TRUE,0.144444444444444,TRUE,0.157407407407407
"2005ukeu.euscope1g",1,2005,TRUE,0.119444444444445,TRUE,0.199074074074074
"2006ukeu.euscope1g",1,2006,TRUE,0.166666666666667,TRUE,0.143939393939394
"2007ukeu.euscope1g",1,2007,FALSE,-0.0781250000000001,FALSE,-0.0509259259259262
"2008ukeu.euscope1g",1,2008,TRUE,0.272727272727273,TRUE,0.285714285714286
"2009ukeu.euscope1g",1,2009,TRUE,0.110119047619048,TRUE,0.1375
"2010ukeu.euscope1g",1,2010,TRUE,0.15625,TRUE,0.172619047619048
"2011ukeu.euscope1g",1,2011,FALSE,-0.011111111111111,FALSE,-0.00925925925925919
"2012ukeu.euscope1g",1,2012,FALSE,-0.234848484848485,FALSE,-0.263888888888889
"2013ukeu.euscope1g",1,2013,FALSE,-0.1796875,FALSE,-0.125
"2014ukeu.euscope1g",1,2014,FALSE,0,FALSE,0
"2015ukeu.euscope1g",1,2015,TRUE,0.141228070175439,TRUE,0.144688644688645
"2099ukeu.euscope1g",1,2099,TRUE,0.0555555555555554,TRUE,0.0416666666666665
"2001ukeu.commies1r",1,2001,TRUE,0.258333333333333,TRUE,0.3125
"2002ukeu.commies1r",1,2002,FALSE,-0.309210526315789,FALSE,-0.291666666666667
"2003ukeu.commies1r",1,2003,TRUE,0.31043956043956,TRUE,0.375
"2004ukeu.commies1r",1,2004,FALSE,-0.285897435897436,FALSE,-0.326388888888889
"2005ukeu.commies1r",1,2005,TRUE,0.235714285714286,TRUE,0.263888888888889
"2006ukeu.commies1r",1,2006,TRUE,0.221875,TRUE,0.281818181818182
"2007ukeu.commies1r",1,2007,TRUE,0.1796875,TRUE,0.119047619047619
"2008ukeu.commies1r",1,2008,FALSE,-0.306818181818182,FALSE,-0.321428571428571
"2009ukeu.commies1r",1,2009,FALSE,-0.235119047619048,FALSE,-0.2
"2010ukeu.commies1r",1,2010,TRUE,0.3078125,TRUE,0.303571428571429
"2011ukeu.commies1r",1,2011,TRUE,0.342948717948718,TRUE,0.378968253968254
"2012ukeu.commies1r",1,2012,FALSE,-0.181818181818182,FALSE,-0.145833333333333
"2013ukeu.commies1r",1,2013,TRUE,0.3046875,TRUE,0.288461538461538
"2014ukeu.commies1r",1,2014,TRUE,0.31043956043956,TRUE,0.361607142857143
"2015ukeu.commies1r",1,2015,TRUE,0.244117647058823,TRUE,0.296266233766234
"2099ukeu.commies1r",1,2099,FALSE,-0.166666666666667,FALSE,-0.1875
"2001ukeu.favref1r",1,2001,TRUE,0.4,TRUE,0.421875
"2002ukeu.favref1r",1,2002,TRUE,0.447368421052632,TRUE,0.430555555555556
"2003ukeu.favref1r",1,2003,FALSE,-0.410714285714286,FALSE,-0.416666666666667
"2004ukeu.favref1r",1,2004,FALSE,-0.317948717948718,FALSE,-0.361111111111111
"2005ukeu.favref1r",1,2005,FALSE,0,FALSE,0
"2006ukeu.favref1r",1,2006,FALSE,-0.4296875,FALSE,-0.486363636363636
"2007ukeu.favref1r",1,2007,FALSE,-0.471354166666667,FALSE,-0.541666666666667
"2008ukeu.favref1r",1,2008,FALSE,-0.363636363636364,FALSE,-0.410714285714286
"2009ukeu.favref1r",1,2009,FALSE,-0.576236263736264,FALSE,-0.5875
"2010ukeu.favref1r",1,2010,FALSE,-0.492708333333333,FALSE,-0.505952380952381
"2011ukeu.favref1r",1,2011,TRUE,0.438461538461538,TRUE,0.474206349206349
"2012ukeu.favref1r",1,2012,FALSE,-0.431818181818182,FALSE,-0.354166666666667
"2013ukeu.favref1r",1,2013,FALSE,-0.4609375,FALSE,-0.480769230769231
"2014ukeu.favref1r",1,2014,TRUE,0.429945054945055,TRUE,0.493303571428571
"2015ukeu.favref1r",1,2015,FALSE,-0.461805555555556,FALSE,-0.538690476190476
"2099ukeu.favref1r",1,2099,FALSE,0,FALSE,0
"2201ukhealth.t1payhlt",2,2201,TRUE,0.0795454545454545,TRUE,0.130952380952381
"2202ukhealth.t1payhlt",2,2202,NA,NA,TRUE,0.0555555555555556
"2203ukhealth.t1payhlt",2,2203,TRUE,0.15,TRUE,0.223214285714286
"2204ukhealth.t1payhlt",2,2204,TRUE,0.0934065934065934,FALSE,0
"2205ukhealth.t1payhlt",2,2205,FALSE,-0.0851648351648352,FALSE,-0.0446428571428572
"2206ukhealth.t1payhlt",2,2206,TRUE,0.0214285714285714,TRUE,0.0178571428571428
"2207ukhealth.t1payhlt",2,2207,FALSE,-0.115384615384615,FALSE,-0.125
"2208ukhealth.t1payhlt",2,2208,FALSE,-0.06875,FALSE,-0.0833333333333333
"2209ukhealth.t1payhlt",2,2209,FALSE,-0.1375,FALSE,0
"2210ukhealth.t1payhlt",2,2210,TRUE,0.025,FALSE,-0.0833333333333333
"2211ukhealth.t1payhlt",2,2211,TRUE,0.0375,TRUE,0.2
"2212ukhealth.t1payhlt",2,2212,TRUE,0.104166666666667,TRUE,0.0857142857142857
"2213ukhealth.t1payhlt",2,2213,TRUE,0.0673076923076923,TRUE,0.159722222222222
"2214ukhealth.t1payhlt",2,2214,TRUE,0.147058823529412,TRUE,0.136363636363636
"2215ukhealth.t1payhlt",2,2215,FALSE,-0.0564102564102564,TRUE,0.0238095238095238
"2201ukhealth.t1poora",2,2201,FALSE,-0.0208333333333334,TRUE,0.0238095238095237
"2202ukhealth.t1poora",2,2202,FALSE,-0.0684523809523809,FALSE,-0.05
"2203ukhealth.t1poora",2,2203,FALSE,-0.0875,FALSE,-0.169642857142857
