"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health","2","15","11","0.00673254120885303","0.058978336390073","0.0233308409711384","0.100751816398245"
"UK General Election","4","15","4","-0.00527107892968828","-0.00922852988749177","-0.020420031452923","-0.0533791786328081"
"Australia Republic Referendum","5","24","5","0.0040024174997579","0.0489796902557319","0.0116459877211221","0.0444558299059599"
"Central Power & Light","8","16","7","-0.004228068381808","0.0456148055073965","-0.00353639616695547","0.0881184506377999"
"Bulgarian National","10","17","5","0.0106554941309362","0.124038633790255","0.0144178140087975","0.150804829777883"
"New Haven, CT","12","16","3","0.0530555707454569","0.092456896037891","0.140486603004401","0.182699809308731"
"National Issues Convention 2","13","24","9","-0.00302699791715053","0.022527594839912","-0.015299974651027","0.0171114957933776"
"By the People: National","14","15","9","0.00829904050047805","0.0319865330263931","0.0130177649296681","0.032628064631339"
"By the People 2004 US General Election","15","15","6","0.0139431736187932","0.0251852178651017","0.0172771272376583","0.0145501389336015"
"By the People 2004 US Presidential Primaries","16","16","3","-0.0216591255923784","-0.00618721682369366","-0.0556116531984331","-0.058183095254604"
"San Mateo, CA","17","26","7","-0.0323927103912857","0.0398816188186627","-0.0523596496430859","0.0158121844031593"
"12",NA,NA,NA,NA,NA,NA,NA
