"source_id","path","official_url","editable","sha256"
"paper_vor","deliberative-distortions-homogenization-polarization-and-domination-in-small-group-discussions.pdf","https://doi.org/10.1017/S0007123421000168",FALSE,"a2b6000b2b9183d87b67c520a61d4e30e91122d3264358e25c4adb3b2b94dfe2"
"participant_data","data/polardata.csv",NA,TRUE,"414900c78fd505180b3b90538df3df5958be8043947714fcdbb510924a60134f"
"index_dictionary","data/poll_indices.csv",NA,TRUE,"f3aa3b17e072a70404c562dd7113bebda7a1f5afd5f4abe96944d5956fd3d055"
"package_lock","renv.lock",NA,TRUE,"5c83dd5e4cbb29697ac5d0f237ef4afc9851aae6c91bdb4350810b12b615c049"
