searched,archive,query,records,url,status
2026-09-11,Harvard Dataverse (including harvested records),deliberat*,495,https://dataverse.harvard.edu/api/search?q=deliberat%2A&type=dataset&per_page=1000&start=0,retrieved; eligibility requires source-register screening
2026-09-11,Harvard Dataverse (including harvested records),"""citizens assembly"" OR ""citizens jury"" OR ""mini-public""",19,https://dataverse.harvard.edu/api/search?q=%22citizens%20assembly%22%20OR%20%22citizens%20jury%22%20OR%20%22mini-public%22&type=dataset&per_page=1000&start=0,retrieved; eligibility requires source-register screening
2026-09-11,Harvard Dataverse (including harvested records),"polarization AND (discussion OR group OR ""echo chamber"")",387,https://dataverse.harvard.edu/api/search?q=polarization%20AND%20%28discussion%20OR%20group%20OR%20%22echo%20chamber%22%29&type=dataset&per_page=1000&start=0,retrieved; eligibility requires source-register screening
