"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,0.5625,0.0289901855233887,0.515625,0.0133217948607425
"UK Health",2,15,11,0.503703703703704,0.0122152955926104,0.4,-0.0162531602082256
"UK Monarchy",3,15,4,0.516666666666667,0.0203913764035693,0.45,-0.00463123845767895
"UK General Election",4,15,4,0.533333333333333,0.0335511328778035,0.533333333333333,0.00598550782745886
"Australia Republic Referendum",5,24,5,0.625,0.138796415293811,0.666666666666667,0.110325355344887
"UK Crime",6,20,5,0.51,0.0109598109314627,0.49,0.00183651513562885
"Tomorrow's Europe (EU)",7,18,7,0.714285714285714,0.0656050919245364,0.523809523809524,0.0165024119036107
"Central Power & Light",8,16,7,0.541666666666667,0.0252359202645889,0.40625,-0.0198165454578215
"Zeguo Township",9,16,9,0.520833333333333,0.0524694077710891,0.381944444444444,-0.0182661548803592
"Bulgarian National",10,17,5,0.622549019607843,0.095585598021666,0.509803921568627,0.0176193868405687
"Europolis",11,25,2,0.56,0.0388869047619048,0.4,-0.00397340747487805
"New Haven, CT",12,16,3,0.59375,0.0503906253414849,0.59375,0.0438507585436611
"National Issues Convention 2",13,24,9,0.537037037037037,0.0267584463365707,0.453703703703704,1.51524970065509e-05
"By the People: National",14,15,9,0.585185185185185,0.0222686650679178,0.459259259259259,-0.00423037842944984
"By the People 2004 US General Election",15,15,6,0.611111111111111,0.0354295340050147,0.511111111111111,0.0136167709648615
"By the People 2004 US Presidential Primaries",16,16,3,0.520833333333333,-0.00524077957327275,0.375,-0.0269443816749503
"San Mateo, CA",17,26,7,0.6,0.0644476318877529,0.48,-0.000564568969789203
"By the People: Health and Education",18,30,11,0.554545454545455,0.0259715188086867,0.5,0.00296914587780513
"West Texas Utilities",19,14,7,0.535714285714286,0.0221200040812782,0.452380952380952,-0.00655641501482577
"National Issues Convention",20,30,9,0.548148148148148,0.0375666052056383,0.396296296296296,-0.00344270607737956
"Southwestern Electric Power",21,14,7,0.511904761904762,0.0196318050860284,0.428571428571429,-0.0130762973178689
"Mean",11,18.9047619047619,6.38095238095238,0.562322274027456,0.0391443426482634,0.472738363864064,0.00515654980157159
"Weighted Mean (By Indices and Groups)",12.3929257977701,21.0722798923491,7.6243752402922,0.561730530992353,0.0393129770615965,0.467138280148661,0.00372779439944977
