"script","status"
"01_summary_dp_data_table_1.R","ok"
"02_hom_pol_table_2_3.R","ok"
"03a_dom_educ.R","ok"
"03b_dom_gender.R","ok"
"03c_dom_income.R","ok"
"03d_dom_men_income_ed.R","ok"
"04_corr_hpd.R","ok"
"05a_hp_se.R","ok"
"05b_dom_se.R","ok"
"06_figs.R","ERROR: replacement has 0 rows, data has 990"
"07_parsing_domination.R","ok"
"08_appendix_sample_description.R","ok"
"09_attitude_change.R","ok"
