"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,11,0.592592592592593,0.0598439988509433,0.503703703703704,0.00658292918198963
"UK General Election",4,15,4,0.466666666666667,-0.00922852988749176,0.55,-0.00527107892968828
"Australia Republic Referendum",5,24,5,0.458333333333333,0.0489796902557319,0.458333333333333,0.0039190338018463
"Central Power & Light",8,16,7,0.614583333333333,0.0452020743167719,0.53125,-0.00418402600283082
"Bulgarian National",10,17,5,0.65,0.114508068880924,0.495098039215686,0.0104987956878342
"New Haven, CT",12,16,3,0.633333333333333,0.0904166661699613,0.666666666666667,0.0512870517206083
"National Issues Convention 2",13,24,9,0.541666666666667,0.02379241571469,0.467592592592593,-0.00301298403790446
"By the People: National",14,15,9,0.585185185185185,0.0352475381084393,0.525925925925926,0.00823756612640042
"By the People 2004 US General Election",15,15,6,0.522222222222222,0.0251852178651017,0.611111111111111,0.0139431736187932
"By the People 2004 US Presidential Primaries",16,16,3,0.5,-0.00374581644339772,0.333333333333333,-0.0216591255923783
"San Mateo, CA",17,26,7,0.444444444444444,0.0426874549661942,0.404040404040404,-0.0302282083378793
"Mean",10.5454545454545,18.0909090909091,6.27272727272727,0.546275252525253,0.0429898889816243,0.504277737265705,0.00273755702152644
"Weighted Mean (By Indices and Groups)",10.6280729579699,19.2854877081681,7.23632038065028,0.541752577319588,0.0428925421600276,0.492648531308325,-0.000554521495760114
