"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,11,0.525925925925926,0.0369576845479623,0.451851851851852,-0.00658292918198963
"UK General Election",4,15,4,0.483333333333333,0.00332658725480241,0.45,0.00527107892968828
"Australia Republic Referendum",5,24,5,0.479166666666667,0.0403394372795414,0.479166666666667,-0.0039190338018463
"Central Power & Light",8,16,7,0.635416666666667,0.043961917597814,0.458333333333333,0.00418402600283082
"Bulgarian National",10,17,5,0.56,0.0319746085599213,0.47,-0.0107087716015909
"New Haven, CT",12,16,3,0.366666666666667,-0.00695039680552861,0.233333333333333,-0.0512870517206083
"National Issues Convention 2",13,24,9,0.574074074074074,0.0313261490686893,0.527777777777778,0.00301298403790446
"By the People: National",14,15,9,0.518518518518518,0.00818086685555358,0.451851851851852,-0.00823756612640042
"By the People 2004 US General Election",15,15,6,0.433333333333333,0.000394589046202394,0.388888888888889,-0.0139431736187932
"By the People 2004 US Presidential Primaries",16,16,3,0.625,0.0310722744355358,0.666666666666667,0.0216591255923783
"San Mateo, CA",17,26,7,0.505050505050505,0.104180696017112,0.55,0.0299259262545005
"Mean",10.5454545454545,18.0909090909091,6.27272727272727,0.518771426385063,0.0295240376234187,0.466170033670034,-0.00278412593035694
"Weighted Mean (By Indices and Groups)",10.6280729579699,19.2854877081681,7.23632038065028,0.527013192992574,0.0371173966674425,0.47869856375011,0.000496739345209554
