"poll_id","source_poll_id","poll_name","issue_id","pair_id","group_id","group_key","net_change","gross_change","n_complete"
13,92,"National Issues Convention 2","nic2.t1usseca","13:9206::nic2.t1usseca","9206","13:9206",0.000769230035635227,0.0338461490777821,13
13,92,"National Issues Convention 2","nic2.t1usseca","13:9207::nic2.t1usseca","9207","13:9207",0.0300781223922968,0.102578135207295,16
13,92,"National Issues Convention 2","nic2.t1usseca","13:9208::nic2.t1usseca","9208","13:9208",0.0392307673509303,0.0800000050893199,13
13,92,"National Issues Convention 2","nic2.t1usseca","13:9209::nic2.t1usseca","9209","13:9209",0.00178571684019914,0.0910714311259134,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9210::nic2.t1usseca","9210","13:9210",0.00785713962146205,0.115714290312358,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9211::nic2.t1usseca","9211","13:9211",0.0560714176722935,0.121071432318006,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9212::nic2.t1usseca","9212","13:9212",0.0442857146263122,0.0664285676819936,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9213::nic2.t1usseca","9213","13:9213",0.0126666665077209,0.161999992529551,15
13,92,"National Issues Convention 2","nic2.t1usseca","13:9214::nic2.t1usseca","9214","13:9214",0.0473333319028219,0.0720000068346659,15
13,92,"National Issues Convention 2","nic2.t1usseca","13:9215::nic2.t1usseca","9215","13:9215",0.0264285675116949,0.0550000028950829,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9216::nic2.t1usseca","9216","13:9216",0.00892857355730884,0.112500005534717,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9217::nic2.t1usseca","9217","13:9217",0.0246153886501607,0.0584615285579976,13
13,92,"National Issues Convention 2","nic2.t1usseca","13:9218::nic2.t1usseca","9218","13:9218",0.0165384595210737,0.101923076006082,13
13,92,"National Issues Convention 2","nic2.t1usseca","13:9219::nic2.t1usseca","9219","13:9219",0.0444791708141564,0.0794791709631682,16
13,92,"National Issues Convention 2","nic2.t1usseca","13:9220::nic2.t1usseca","9220","13:9220",0.0407142894608633,0.089285705770765,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9221::nic2.t1usseca","9221","13:9221",0.0668333331743875,0.0984999934832253,15
13,92,"National Issues Convention 2","nic2.t1usseca","13:9222::nic2.t1usseca","9222","13:9222",0.0195833444595337,0.0720833440621694,12
13,92,"National Issues Convention 2","nic2.t1usseca","13:9223::nic2.t1usseca","9223","13:9223",0.0505357044083731,0.0883928452219281,14
13,92,"National Issues Convention 2","nic2.t1usseca","13:9224::nic2.t1usseca","9224","13:9224",0.000833322604497352,0.080833335717519,12
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9201::nic2.t1humrh2","9201","13:9201",0.0266666730244955,0.133333341280619,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9202::nic2.t1humrh2","9202","13:9202",1.98682146383226e-09,0.213333338499069,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9203::nic2.t1humrh2","9203","13:9203",0.0250000022351742,0.12500000372529,16
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9204::nic2.t1humrh2","9204","13:9204",5.9604644659434e-09,0.133333335320155,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9205::nic2.t1humrh2","9205","13:9205",0.121428572705814,0.149999999574253,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9206::nic2.t1humrh2","9206","13:9206",0.0230769171164586,0.0999999940395355,13
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9207::nic2.t1humrh2","9207","13:9207",4.6566128661385e-09,0.149999995715916,16
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9208::nic2.t1humrh2","9208","13:9208",0.076923074057469,0.153846150980546,13
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9209::nic2.t1humrh2","9209","13:9209",3.19310593003456e-09,0.0857142816696848,14
