"dimension","measure","outcome","estimate","null","se","df","p","conf_low","conf_high","se_two_way","df_two_way","p_two_way","two_way_variance_nonnegative","n_pairs","n_groups","n_issues","n_polls","mean_absolute","proportion_abs_gt_10","proportion_abs_gt_20","leave_one_poll_min","leave_one_poll_max","p_holm_24","p_bh_24","p_bonferroni_24"
"Gender","D","ext_grp",0.00175429996191233,0,0.00352039543651967,13.9207751201194,0.62603574051083,-0.00580023066433894,0.0093088305881636,0.00321463236351876,128,0.58620591877533,TRUE,2436,396,129,21,0.0888863651052671,0.318144499178982,0.100985221674877,-0.00042785364141318,0.00301212958551055,1,0.682948080557269,1
"Gender","dM","ext_dis",0.0394701201723524,0,0.00665408528687109,13.9132672702898,3.75663245812484e-05,0.0251901756028626,0.0537500647418422,0.0044725661470739,128,6.97343136973956e-15,TRUE,2437,396,129,21,0.113255676546327,0.415675010258515,0.153057037340993,0.0342362593141085,0.0414662004984175,0.000676193842462471,0.000128798827135709,0.000901591789949961
"Gender","aM","ext_adv",-0.0366507324375659,0,0.00549600717208086,13.9132672702898,1.09727597396707e-05,-0.0484453930689353,-0.0248560718061964,0.00440274996270036,128,1.10251263035026e-13,TRUE,2437,396,129,21,0.109015547770556,0.40500615510874,0.156750102585146,-0.0389169245476831,-0.0342501410780254,0.000230427954533084,6.5836558438024e-05,0.000263346233752096
"Gender","Db","freqgrp_grp",0.471264367816092,0.5,0.0141952527007765,13.9207751201194,0.0625657877377022,0.44080231512652,0.501726420505664,0.0122680574278733,128,0.0207076057071125,TRUE,2436,396,129,21,NA,NA,NA,0.465435606060606,0.479281767955801,0.437960514163916,0.0815970685273917,1
"Gender","dMb","freqdis_grp",0.571604431678293,0.5,0.0119889341756492,13.9132672702898,3.50210705498743e-05,0.545875678875361,0.597333184481225,0.0118443383198121,128,1.52047971145605e-08,TRUE,2437,396,129,21,NA,NA,NA,0.563825183903072,0.575086805555556,0.000665400340447611,0.000128798827135709,0.000840505693196983
"Gender","aMb","freqadv_grp",0.361920393926957,0.5,0.0134364767605066,13.9132672702898,7.05042324820973e-08,0.333085154359492,0.390755633494422,0.0118514284527282,128,7.84282580287531e-22,TRUE,2437,396,129,21,NA,NA,NA,0.356903765690377,0.36878453038674,1.69210157957034e-06,1.69210157957034e-06,1.69210157957034e-06
"Education","D","ext_grp",0.0100425158300509,0,0.00313244695460156,14.0098249877648,0.00633996623012214,0.00332452729815974,0.016760504361942,0.00352922284713132,128,0.00516480653622737,TRUE,2385,392,129,21,0.0896440448209119,0.325366876310273,0.10314465408805,0.007759033036404,0.0111577433679912,0.0697396285313436,0.0108685135373522,0.152159189522931
"Education","dM","ext_dis",0.0522423478471193,0,0.00665721671593478,13.9883995721346,1.72142270759994e-06,0.0379629271111371,0.0665217685831014,0.00538670954251036,128,5.21321102111434e-17,TRUE,2386,392,129,21,0.119617841782532,0.431265716680637,0.173931265716681,0.0479944725485779,0.0548590863699724,3.95927222747985e-05,2.06570724911992e-05,4.13141449823985e-05
"Education","aM","ext_adv",-0.0301129667083291,0,0.00849395481971419,13.9940219365647,0.00323336701828681,-0.0483314180743205,-0.0118945153423377,0.00536298739633408,128,1.16632028006262e-07,TRUE,2387,392,129,21,0.112376848316046,0.408043569333892,0.161290322580645,-0.0333753209098203,-0.0240152399567244,0.0485005052743022,0.00775944333238204,0.0776008084388836
"Education","Db","freqgrp_grp",0.523270440251572,0.5,0.0171456010664876,14.0098249877648,0.196173370360819,0.486499202619651,0.560041677883494,0.0134352434192903,128,0.0856746104966231,TRUE,2385,392,129,21,NA,NA,NA,0.518613607188703,0.537629350893697,0.980866851804097,0.235408044432983,1
"Education","dMb","freqdis_grp",0.593461860854988,0.5,0.012782312867015,13.9883995721346,3.85763537656681e-06,0.56604439328627,0.620879328423705,0.0123614304031101,128,6.81017875110578e-12,TRUE,2386,392,129,21,NA,NA,NA,0.588047445255474,0.59951573849879,8.48679782844699e-05,3.08610830125345e-05,9.25832490376035e-05
"Education","aMb","freqadv_grp",0.390448261416003,0.5,0.0226120489493644,13.9940219365647,0.000260072719702042,0.341948296109703,0.438948226722302,0.0156278815344101,128,1.22104908011623e-10,TRUE,2387,392,129,21,NA,NA,NA,0.381668946648426,0.404515522107244,0.00442123623493471,0.000780218159106126,0.006241745272849
"Income","D","ext_grp",0.00150626359145496,0,0.00418917325863058,7.39939491719995,0.72921930245543,-0.00829219077858364,0.0113047179614936,0.00406533966634719,65,0.712204556733408,TRUE,1144,197,66,11,0.095662676714219,0.346153846153846,0.120629370629371,-0.000442482845342186,0.0044997692500711,1,0.76092448951871,1
