"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"UK EU",1,16,4,0.515625,-0.00270088743721558,0.484375,-0.0144792097033504,0.0967404986109709,0.0609361963708079,0.082186116004543,0.053808973748904
"UK Health",2,15,11,0.533333333333333,0.0396465192043896,0.518518518518518,-0.00256204369643913,0.0430973290103635,0.0100675370834917,0.0431637859951132,0.00796903286006791
"UK Monarchy",3,15,4,0.483333333333333,0.014982594038418,0.466666666666667,0.0064868043811415,0.0876651883595403,0.0241648365191878,0.0649496400596606,0.0119929538316362
"UK General Election",4,15,4,0.6,0.0375444999077768,0.583333333333333,0.00970503396362283,0.0637792804143281,0.0277307118250825,0.0833333333551677,0.0190441280121211
"Australia Republic Referendum",5,24,5,0.75,0.156240668089626,0.75,0.121219584345733,0.0631613940799889,0.0753148578455671,0.0833333350936585,0.0902933160233814
"UK Crime",6,20,5,0.62,0.0267382185109864,0.62,0.0183237370358497,0.0487831731214563,0.00631910181667849,0.0487831731214563,0.00585048272016408
"Tomorrow's Europe (EU)",7,18,7,0.603174603174603,0.0549357055532651,0.531746031746032,0.00426512256602955,0.0491379895760753,0.0232857734268042,0.0673435030340447,0.0142445032576046
"Central Power & Light",8,16,7,0.614583333333333,0.0455022792803769,0.5,-0.0022376405461315,0.0499337097109465,0.0153103418871563,0.0603807364136389,0.0100307663108581
"Zeguo Township",9,16,9,0.511111111111111,0.0260560231104037,0.451851851851852,0.00310421238157989,0.07114582610322,0.0109912768160563,0.0673829839762055,0.0101467306561684
"Bulgarian National",10,17,5,0.581151832460733,0.0366914002641719,0.544502617801047,0.0130086630672627,0.0414307574062813,0.0176349509849462,0.0405031085665679,0.0181123679935972
"Europolis",11,25,2,0.68,0.0630114357864358,0.74,0.0318968337218337,0.0799999991431483,0.0392001469615965,0.0626620348556037,0.0169167565585825
"New Haven, CT",12,16,3,0.5625,0.0581542966576914,0.46875,-0.00439917970072338,0.125000000045763,0.0784993680288398,0.156250015318317,0.033347757917653
"National Issues Convention 2",13,24,9,0.641414141414141,0.0767669956786213,0.53030303030303,0.0175189923265425,0.0516289098967443,0.0242266453491016,0.0400871409279077,0.00854547633604343
"By the People: National",14,15,9,0.552238805970149,0.0527639542129476,0.511111111111111,0.00325555084865175,0.054967141096707,0.0208769822429787,0.0431827549197798,0.00774710140056819
"By the People 2004 US General Election",15,15,6,0.574712643678161,0.0407668579052252,0.577777777777778,0.00705504576978163,0.067780426504489,0.021676377949899,0.0562182688168827,0.0115723526574991
"By the People 2004 US Presidential Primaries",16,16,3,0.4375,0.0048772816705849,0.4375,-0.0146352275623351,0.0723604673426212,0.0157744509996834,0.0723604673426212,0.0121901184911186
"San Mateo, CA",17,26,7,0.646464646464647,0.149887765374549,0.52,0.0170654531771296,0.0482920650236119,0.0246090866193868,0.0502116731568678,0.0169295661769751
"By the People: Health and Education",18,30,11,0.539393939393939,0.0344431169976781,0.490909090909091,0.00676064821433154,0.0350521060459549,0.00949888114789875,0.0275613355985407,0.00438986612100428
"West Texas Utilities",19,14,7,0.535714285714286,0.0672306440764136,0.476190476190476,0.0172042442602553,0.0547419455258107,0.0188232953821887,0.0548198700428744,0.0139176491274233
"National Issues Convention",20,30,9,0.611111111111111,0.051832010582239,0.388888888888889,0.00085199205304456,0.0297232789614767,0.00848239008961342,0.0355729108059946,0.00691581266354758
"Southwestern Electric Power",21,14,7,0.678571428571429,0.0883378099917216,0.571428571428571,0.0293769247116836,0.0512626410972412,0.0177933546714777,0.078246080327381,0.0139389270407806
"Mean",NA,NA,NA,0.584377788050681,0.0535099614026813,0.531612046025066,0.0127993115054997,0.0113877103409115,0.00316952779823209,0.0112397734429464,0.00214023018761324
"Weighted Mean (By Indices and Groups)",NA,NA,NA,0.589123274137455,0.0581577085620904,0.517592105323888,0.0128842848546848,0.012216183081392,0.00570958597623726,0.0123086659634792,0.00501513171404676
"p-value of Weighted Mean",NA,NA,NA,NA,NA,NA,NA,2.9753199015719e-13,2.29048613344197e-24,0.152933686976692,0.0101968311636365
"Precision Wtd Mean",NA,NA,NA,0.590850701828042,0.0403664866036222,0.516537873210308,0.00764658493798397,0.0113877103409115,0.00316952779823209,0.0112397734429464,0.00214023018761324
