"dimension","outcome","intercept","slope","slope_se","slope_df","slope_p","prediction_at_20","prediction_at_80","prediction_at_95","n_pairs","n_groups","n_polls"
"educ","ext_dis",0.105644669502815,-0.109664249986653,0.0255080197661459,8.03902236920073,0.00258914881708147,0.0837118195054848,0.0179132695134929,0.00146363201549497,2386,392,21
"educ","ext_grp",0.0164820130524394,-0.0132262450603066,0.0107296849729981,8.04543701176159,0.252499189235758,0.0138367640403781,0.00590101700419417,0.00391708024514818,2385,392,21
"gender","ext_dis",0.0869733198172785,-0.09448904148415,0.023950569306955,11.4969207209661,0.0021075453379367,0.0680755115204485,0.0113820866299585,-0.00279126959266394,2437,396,21
"gender","ext_grp",0.0130327308934859,-0.022437031689238,0.0228165220310224,11.4979067734566,0.34566692863338,0.00854532455563826,-0.00491689445790453,-0.00828244921129023,2436,396,21
"income","ext_dis",0.144915308336609,-0.199013625404797,0.0481432386254289,5.30704338406226,0.00797048140933721,0.10511258325565,-0.014295591987229,-0.0441476357979486,1144,197,11
"income","ext_grp",0.00761957874824637,-0.0126826331645656,0.0205174786283479,5.30704338406226,0.562048779348828,0.00508305211533325,-0.00252652778340611,-0.00442892275809095,1144,197,11
"triple","ext_dis",0.0487629016456617,-0.0237206694561453,0.0486692245004189,7.3633489118398,0.640161396318326,0.0440187677544326,0.0297863660807455,0.0262282656623237,983,173,11
"triple","ext_grp",0.0128055257374304,5.69004328960108e-05,0.0330622544139814,7.3633489118398,0.998672537817349,0.0128169058240096,0.0128510460837472,0.0128595811486816,983,173,11
