"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"UK EU",1,16,4,0.5625,0.0289901855233887,0.515625,0.0133217948607425,0.0625,0.0372096083922982,0.0629633124941668,0.0339632084685248
"UK Health",2,15,11,0.503703703703704,0.0122152955926104,0.4,-0.0162531602082256,0.0534155738448624,0.0113747856956959,0.0458122846014674,0.00798161459726424
"UK Monarchy",3,15,4,0.516666666666667,0.0203913764035693,0.45,-0.00463123845767895,0.065058281853003,0.0139497649738389,0.0647681654382559,0.0114897196605876
"UK General Election",4,15,4,0.533333333333333,0.0335511328778035,0.533333333333333,0.00598550782745886,0.108866228472167,0.0263887664783827,0.112216721719459,0.0180496082016116
"Australia Republic Referendum",5,24,5,0.625,0.138796415293811,0.666666666666667,0.110325355344887,0.166666700051894,0.0910342748625559,0.166666700746486,0.0993928089894703
"UK Crime",6,20,5,0.51,0.0109598109314627,0.49,0.00183651513562885,0.0502418393795691,0.00710093609933935,0.065954529847388,0.00611163760198776
"Tomorrow's Europe (EU)",7,18,7,0.714285714285714,0.0656050919245364,0.523809523809524,0.0165024119036107,0.0404061017820884,0.0182143929073275,0.0446706262840327,0.0132979346778569
"Central Power & Light",8,16,7,0.541666666666667,0.0252359202645889,0.40625,-0.0198165454578215,0.0527045662468744,0.0127401136492477,0.0503891109268659,0.00992783656014913
"Zeguo Township",9,16,9,0.520833333333333,0.0524694077710891,0.381944444444444,-0.0182661548803592,0.070649271854958,0.0148729118052468,0.0525442568684747,0.0089189844207942
"Bulgarian National",10,17,5,0.622549019607843,0.095585598021666,0.509803921568627,0.0176193868405687,0.034022720443407,0.0214127390092443,0.037156262996712,0.0127951564471573
"Europolis",11,25,2,0.56,0.0388869047619048,0.4,-0.00397340747487805,0.0709124208342334,0.018618199298445,0.0699854212223765,0.0168843849652223
"New Haven, CT",12,16,3,0.59375,0.0503906253414849,0.59375,0.0438507585436611,0.156250000179056,0.0313802079912861,0.0937499719584608,0.0222656193413021
"National Issues Convention 2",13,24,9,0.537037037037037,0.0267584463365707,0.453703703703704,1.51524970065509e-05,0.0441638519993019,0.0129132125844876,0.033953227263758,0.00808624522118318
"By the People: National",14,15,9,0.585185185185185,0.0222686650679178,0.459259259259259,-0.00423037842944984,0.0441347225838082,0.0114009481360733,0.0514534962125125,0.00723167078899833
"By the People 2004 US General Election",15,15,6,0.611111111111111,0.0354295340050147,0.511111111111111,0.0136167709648615,0.0516746869320386,0.00957796661736268,0.0529868059907345,0.0077522446655979
"By the People 2004 US Presidential Primaries",16,16,3,0.520833333333333,-0.00524077957327275,0.375,-0.0269443816749503,0.0728691587888901,0.0178690090455679,0.070616585358254,0.0171331645487386
"San Mateo, CA",17,26,7,0.6,0.0644476318877529,0.48,-0.000564568969789203,0.0588784057446547,0.0358314909380244,0.0879393732183234,0.0265963954768807
"By the People: Health and Education",18,30,11,0.554545454545455,0.0259715188086867,0.5,0.00296914587780513,0.0309031484785798,0.00769993648144736,0.0275658923209986,0.00420415722783169
"West Texas Utilities",19,14,7,0.535714285714286,0.0221200040812782,0.452380952380952,-0.00655641501482577,0.0547419455258107,0.0149758275468953,0.0729986180028174,0.013924897454521
"National Issues Convention",20,30,9,0.548148148148148,0.0375666052056383,0.396296296296296,-0.00344270607737956,0.0347444046367078,0.00814470722423733,0.0421067299563197,0.00771027335420787
"Southwestern Electric Power",21,14,7,0.511904761904762,0.0196318050860284,0.428571428571429,-0.0130762973178689,0.0873196238896658,0.0218842692787095,0.0903507907515887,0.0199842558636909
"Mean",NA,NA,NA,0.562322274027456,0.0391443426482634,0.472738363864064,0.00515654980157162,0.0112840923178474,0.00286597815704966,0.0113715583832168,0.0020805287087378
"Weighted Mean (By Indices and Groups)",NA,NA,NA,0.561730530992353,0.0393129770615965,0.467138280148661,0.00372779439944979,0.0143209818864029,0.00573850476367713,0.0147635838462417,0.00543749914828209
"p-value of Weighted Mean",NA,NA,NA,NA,NA,NA,NA,1.62888988725e-05,7.34713625342564e-12,0.0260233374919562,0.492983364196642
"Precision Wtd Mean",NA,NA,NA,0.570306492501121,0.0276020072530634,0.464426556430494,-0.00111817891970455,0.0112840923178474,0.00286597815704966,0.0113715583832168,0.0020805287087378
