"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,0.4375,-0.000895647321428603,0.453125,-0.0133217948607425
"UK Health",2,15,11,0.614814814814815,0.0600043356848912,0.577777777777778,0.0162531602082256
"UK Monarchy",3,15,4,0.633333333333333,0.0311913242279303,0.55,0.00463123845767895
"UK General Election",4,15,4,0.633333333333333,0.0278748326170733,0.466666666666667,-0.00598550782745886
"Australia Republic Referendum",5,24,5,0.3125,-0.0769503066378066,0.3125,-0.110325355344887
"UK Crime",6,20,5,0.53,0.00672044593738992,0.47,-0.00183651513562885
"Tomorrow's Europe (EU)",7,18,7,0.531746031746032,0.0221304872743365,0.476190476190476,-0.0165024119036107
"Central Power & Light",8,16,7,0.645833333333333,0.0713710147040054,0.572916666666667,0.0198165454578215
"Zeguo Township",9,16,9,0.611111111111111,0.0498019654165465,0.506944444444444,0.0182661548803592
"Bulgarian National",10,17,5,0.588235294117647,0.0567725037256838,0.446078431372549,-0.0176193868405687
"Europolis",11,25,2,0.56,0.0376928932178932,0.54,0.00397340747487805
"New Haven, CT",12,16,3,0.40625,-0.0248611106537282,0.40625,-0.0438507585436611
"National Issues Convention 2",13,24,9,0.578703703703704,0.0320236195654097,0.509259259259259,-1.51524970065509e-05
"By the People: National",14,15,9,0.607407407407407,0.0241157777704703,0.518518518518518,0.00423037842944984
"By the People 2004 US General Election",15,15,6,0.555555555555556,0.0107146038452524,0.488888888888889,-0.0136167709648615
"By the People 2004 US Presidential Primaries",16,16,3,0.645833333333333,0.0462748817048371,0.625,0.0269443816749503
"San Mateo, CA",17,26,7,0.59,0.0924100510992464,0.51,0.000564568969789203
"By the People: Health and Education",18,30,11,0.524242424242424,0.0223780860053915,0.451515151515152,-0.00296914587780513
"West Texas Utilities",19,14,7,0.583333333333333,0.0481996248625713,0.535714285714286,0.00655641501482577
"National Issues Convention",20,30,9,0.57037037037037,0.047949869060865,0.455555555555556,0.00344270607737956
"Southwestern Electric Power",21,14,7,0.583333333333333,0.0510797969981644,0.523809523809524,0.0130762973178689
"Mean",11,18.9047619047619,6.38095238095238,0.559211272050908,0.0302856690049998,0.495081459351417,-0.00515654980157159
"Weighted Mean (By Indices and Groups)",12.3929257977701,21.0722798923491,7.6243752402922,0.560357981972746,0.0340381812997344,0.489838523644752,-0.00372779439944977
