"weighting","net_change","gross_change"
"Equal group-issue pairs",0.0894143821147943,0.202664408086173
"Equal groups (paper footnote 24)",0.0979681839424107,0.207800615685746
"Equal polls",0.0971775308713915,0.206418835549173
