"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,0.515625,-0.00270088743721558,0.484375,-0.0144792097033504
"UK Health",2,15,11,0.533333333333333,0.0396465192043896,0.518518518518518,-0.00256204369643913
"UK Monarchy",3,15,4,0.483333333333333,0.014982594038418,0.466666666666667,0.0064868043811415
"UK General Election",4,15,4,0.6,0.0375444999077768,0.583333333333333,0.00970503396362283
"Australia Republic Referendum",5,24,5,0.75,0.156240668089626,0.75,0.121219584345733
"UK Crime",6,20,5,0.62,0.0267382185109864,0.62,0.0183237370358497
"Tomorrow's Europe (EU)",7,18,7,0.603174603174603,0.0549357055532651,0.531746031746032,0.00426512256602955
"Central Power & Light",8,16,7,0.614583333333333,0.0455022792803769,0.5,-0.0022376405461315
"Zeguo Township",9,16,9,0.511111111111111,0.0260560231104037,0.451851851851852,0.00310421238157989
"Bulgarian National",10,17,5,0.581151832460733,0.0366914002641719,0.544502617801047,0.0130086630672627
"Europolis",11,25,2,0.68,0.0630114357864358,0.74,0.0318968337218337
"New Haven, CT",12,16,3,0.5625,0.0581542966576914,0.46875,-0.00439917970072338
"National Issues Convention 2",13,24,9,0.641414141414141,0.0767669956786213,0.53030303030303,0.0175189923265425
"By the People: National",14,15,9,0.552238805970149,0.0527639542129476,0.511111111111111,0.00325555084865175
"By the People 2004 US General Election",15,15,6,0.574712643678161,0.0407668579052252,0.577777777777778,0.00705504576978163
"By the People 2004 US Presidential Primaries",16,16,3,0.4375,0.0048772816705849,0.4375,-0.0146352275623351
"San Mateo, CA",17,26,7,0.646464646464647,0.149887765374549,0.52,0.0170654531771296
"By the People: Health and Education",18,30,11,0.539393939393939,0.0344431169976781,0.490909090909091,0.00676064821433154
"West Texas Utilities",19,14,7,0.535714285714286,0.0672306440764136,0.476190476190476,0.0172042442602553
"National Issues Convention",20,30,9,0.611111111111111,0.051832010582239,0.388888888888889,0.00085199205304456
"Southwestern Electric Power",21,14,7,0.678571428571429,0.0883378099917216,0.571428571428571,0.0293769247116836
"Mean",11,18.9047619047619,6.38095238095238,0.584377788050681,0.0535099614026813,0.531612046025067,0.0127993115054997
"Weighted Mean (By Indices and Groups)",12.3929257977701,21.0722798923491,7.6243752402922,0.589123274137455,0.0581577085620904,0.517592105323888,0.0128842848546848
