"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"UK Health",2,15,11,0.476635514018692,0.00135292909971646,0.439252336448598,-0.0126289156315098,0.0485112417232968,0.0115187128334866,0.0500560548579034,0.0100179857012651
"UK General Election",4,15,4,0.625,0.0231712368216522,0.553571428571429,0.0116819261434767,0.0736268861025751,0.0202381328912059,0.0791912775081666,0.0196545586466279
"Australia Republic Referendum",5,24,5,0.695652173913043,0.110219963209094,0.608695652173913,0.0868361786160699,0.0685922293692709,0.0564744032519987,0.0869565217181851,0.0544195674131137
"Central Power & Light",8,16,7,0.6,0.0206564244541827,0.555555555555556,0.00530788623332483,0.0519290786889498,0.0107120555421965,0.0526717181266642,0.0104975784686265
"Bulgarian National",10,17,5,0.5703125,0.0562373486410793,0.5703125,0.0350630179142316,0.0664762020919788,0.0296954815135514,0.0689566257569744,0.0297652843729198
"New Haven, CT",12,16,3,0.541666666666667,0.0471360356591287,0.541666666666667,0.0205150647914936,0.124999999748729,0.0265845109610799,0.103894572166229,0.0280977372199595
"National Issues Convention 2",13,24,9,0.536231884057971,0.0213993842200436,0.48792270531401,0.00677416303821639,0.0469618916364296,0.00851849428133347,0.0521425928288766,0.00830248963639196
"By the People: National",14,15,9,0.531746031746032,0.0274391396152002,0.515873015873016,0.013063796099039,0.0446311272067718,0.0108134760733213,0.0446988185407261,0.00815158476929179
"By the People 2004 US General Election",15,15,6,0.533333333333333,0.0131185831995813,0.511111111111111,0.00680096757898721,0.0570899218901651,0.00893594633026567,0.0529868059907345,0.00780947105796109
"By the People 2004 US Presidential Primaries",16,16,3,0.4,-0.0100772526088914,0.466666666666667,-0.0136514792595581,0.0738548945875997,0.0137076224357976,0.101835020142961,0.01724075558773
"San Mateo, CA",17,26,7,0.546666666666667,0.0484691357704855,0.466666666666667,0.0110908294422601,0.0787803690292839,0.0237483409353193,0.059700104042974,0.0209036488237366
"Mean",NA,NA,NA,0.550658615491128,0.0326475389164793,0.519754027731603,0.0155321304514574,0.0179901605578654,0.00396816340029311,0.0183937406156105,0.00362818725471571
"Weighted Mean (By Indices and Groups)",NA,NA,NA,0.551629514479158,0.0333394329051446,0.51054772326361,0.0149081899602998,0.0200123675989269,0.00734263023134261,0.0197724599880756,0.00693387234387052
"p-value of Weighted Mean",NA,NA,NA,NA,NA,NA,NA,0.00988345446469426,5.61129913190497e-06,0.593718456761435,0.031551057783076
"Precision Wtd Mean",NA,NA,NA,0.5460080344369,0.0179188659465205,0.510907077935017,0.00570380711827598,0.0179901605578654,0.00396816340029311,0.0183937406156105,0.00362818725471571
