"poll_id","source_poll_id","poll_name","issue_id","group_key","pair_id","dimension","group_id","dis_t1","adv_t1","dis_t2","adv_t2","grp_t1","grp_t2","reference_tie","no_group_movement","ext_grp","ext_dis","ext_grp_mir","ext_adv_mir","ext_adv","ext_grp_normed","ext_dis_normed","freqgrp_grp","freqdis_grp","freqgrp_mir","freqadv_mir","freqadv_grp"
12,12,"New Haven","nh.t1manvol","12:9102","12:9102::nh.t1manvol","income","9102",0.40625,0.5,0.171875,0.25,0.4375,0.197916666666667,FALSE,FALSE,-0.239583333333333,-0.234375,0.239583333333333,0.25,-0.25,-0.547619047619048,-0.576923076923077,FALSE,FALSE,TRUE,TRUE,FALSE
12,12,"New Haven","nh.t1manvol","12:9103","12:9103::nh.t1manvol","income","9103",0.5,0.425,0.125,0.225,0.4375,0.208333333333333,FALSE,FALSE,0.229166666666667,0.375,-0.229166666666667,-0.2,0.2,0.523809523809524,0.75,TRUE,TRUE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9104","12:9104::nh.t1manvol","income","9104",0.53125,0.410714285714286,0.53125,0.276785714285714,0.4375,0.333333333333333,FALSE,FALSE,0.104166666666667,0,-0.104166666666667,-0.133928571428571,0.133928571428571,0.238095238095238,0,TRUE,FALSE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9105","12:9105::nh.t1manvol","income","9105",0.3375,0.3125,0.2,0.234375,0.326388888888889,0.215277777777778,FALSE,FALSE,0.111111111111111,0.1375,-0.111111111111111,-0.078125,0.078125,0.340425531914894,0.407407407407407,TRUE,TRUE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9106","12:9106::nh.t1manvol","income","9106",0.5,0.375,0.625,0.25,0.4375,0.4375,FALSE,TRUE,0,-0.125,0,-0.125,0.125,0,-0.25,FALSE,FALSE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9107","12:9107::nh.t1manvol","income","9107",0.5,0.125,0.34375,0.375,0.425,0.35,FALSE,FALSE,0.075,0.15625,-0.075,0.25,-0.25,0.176470588235294,0.3125,TRUE,TRUE,FALSE,TRUE,FALSE
12,12,"New Haven","nh.t1manvol","12:9108","12:9108::nh.t1manvol","income","9108",0.458333333333333,0.4375,0.416666666666667,0.3875,0.4453125,0.3984375,FALSE,FALSE,0.046875,0.0416666666666666,-0.046875,-0.05,0.05,0.105263157894737,0.0909090909090908,TRUE,TRUE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9109","12:9109::nh.t1manvol","income","9109",0.5,0.270833333333333,0.2875,0.395833333333333,0.4140625,0.328125,FALSE,FALSE,0.0859375,0.2125,-0.0859375,0.125,-0.125,0.207547169811321,0.425,TRUE,TRUE,FALSE,TRUE,FALSE
12,12,"New Haven","nh.t1manvol","12:9110","12:9110::nh.t1manvol","income","9110",0.625,0.390625,0.5625,0.21875,0.4375,0.2875,FALSE,FALSE,0.15,0.0625,-0.15,-0.171875,0.171875,0.342857142857143,0.1,TRUE,TRUE,FALSE,FALSE,TRUE
12,12,"New Haven","nh.t1manvol","12:9111","12:9111::nh.t1manvol","income","9111",0.458333333333333,0.1875,0.28125,0.09375,0.35,0.20625,FALSE,FALSE,0.14375,0.177083333333333,-0.14375,-0.09375,0.09375,0.410714285714286,0.386363636363636,TRUE,TRUE,FALSE,FALSE,TRUE
