"file","what","quantity","committed","clean","change","flips_sign","crosses_.5","section","committed_wtd_se","clean_wtd_se","committed_p","clean_p","sig_change_at_05","dimension","correlation","outcome","committed_slope","clean_slope"
"04_table_4c_toward_lowinc.csv","D toward lower income (mirror)","freqgrp",0.498751914559766,0.47869856375011,-0.020053350809656,FALSE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4c_toward_lowinc.csv","D toward lower income (mirror)","extgrp",-0.000472415125476647,0.000496739345209554,0.000969154470686201,TRUE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple.csv","D toward triple advantaged","freqdis",0.49518819234807,0.551629514479158,0.056441322131088,FALSE,TRUE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple.csv","D toward triple advantaged","extdis",0.0655008786732558,0.0333394329051446,-0.0321614457681112,FALSE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple.csv","D toward triple advantaged","freqgrp",0.466494157579423,0.51054772326361,0.044053565684187,FALSE,TRUE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple.csv","D toward triple advantaged","extgrp",-0.0151775315430035,0.0149081899602998,0.0300857215033033,TRUE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple_disadv.csv","D toward triple disadvantaged (mirror)","freqdis",0.54538898923632,0.496498164945095,-0.0488908242912249,FALSE,TRUE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple_disadv.csv","D toward triple disadvantaged (mirror)","extdis",0.0307966741806296,0.0622525380786133,0.0314558638979837,FALSE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple_disadv.csv","D toward triple disadvantaged (mirror)","freqgrp",0.517071192513862,0.459691496311846,-0.057379696202016,FALSE,TRUE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04_table_4d_toward_triple_disadv.csv","D toward triple disadvantaged (mirror)","extgrp",0.0145170866484605,-0.0148308075057105,-0.029347894154171,TRUE,FALSE,"main",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02_table_2_hom_pol_se.csv","H/P","polarfreq",NA,NA,NA,NA,NA,"se",0.0273271553843788,0.0273271554073845,0.0877080269567093,0.0877080272236289,FALSE,NA,NA,NA,NA,NA
