"unique_id","poll_id","poll_name","group_id","freqgrp_grp","extgrp_grp","freqdis_grp","extdis_grp","extgrp_mir","extadv_mir"
"9101nh.t1manvol",12,"New Haven","9101",TRUE,0.15625,TRUE,0.1875,-0.15625,-0.15
"9102nh.t1manvol",12,"New Haven","9102",FALSE,-0.205357142857143,FALSE,-0.3125,0.205357142857143,0.125
"9103nh.t1manvol",12,"New Haven","9103",FALSE,-0.232142857142857,FALSE,-0.15625,0.232142857142857,0.2625
"9104nh.t1manvol",12,"New Haven","9104",FALSE,0,FALSE,0,0,0
"9105nh.t1manvol",12,"New Haven","9105",TRUE,0.11875,TRUE,0.114583333333333,-0.11875,-0.125
"9106nh.t1manvol",12,"New Haven","9106",FALSE,-0.0625,FALSE,-0.125,0.0625,-0.125
"9107nh.t1manvol",12,"New Haven","9107",FALSE,-0.15625,FALSE,-0.1875,0.15625,0.142857142857143
"9108nh.t1manvol",12,"New Haven","9108",FALSE,-0.046875,FALSE,-0.03125,0.046875,0.0520833333333334
"9109nh.t1manvol",12,"New Haven","9109",FALSE,-0.138888888888889,FALSE,-0.0625,0.138888888888889,0.234375
"9110nh.t1manvol",12,"New Haven","9110",TRUE,0.140625,TRUE,0.0625,-0.140625,-0.151785714285714
"9111nh.t1manvol",12,"New Haven","9111",FALSE,-0.153409090909091,FALSE,-0.15625,0.153409090909091,0.151785714285714
"9112nh.t1manvol",12,"New Haven","9112",TRUE,0.125,TRUE,0.104166666666667,-0.125,-0.1375
"9113nh.t1manvol",12,"New Haven","9113",FALSE,-0.135416666666667,FALSE,-0.0625,0.135416666666667,0.171875
"9114nh.t1manvol",12,"New Haven","9114",FALSE,-0.0089285714285714,TRUE,0.166666666666667,0.0089285714285714,0.140625
"9115nh.t1manvol",12,"New Haven","9115",TRUE,0.0576923076923077,TRUE,0.1015625,-0.0576923076923077,0.0125
"9116nh.t1manvol",12,"New Haven","9116",FALSE,-0.0625,TRUE,0.03125,0.0625,0.109375
"9101nh.t1endexp",12,"New Haven","9101",TRUE,0.0291666686534882,TRUE,0.175000011920929,-0.0291666686534882,0
"9102nh.t1endexp",12,"New Haven","9102",FALSE,-0.0714285714285714,FALSE,0,0.0714285714285714,0.125
"9103nh.t1endexp",12,"New Haven","9103",TRUE,0.0749999965940202,TRUE,0.0999999940395355,-0.0749999965940202,-0.0649999976158142
"9104nh.t1endexp",12,"New Haven","9104",TRUE,0.104166666666667,TRUE,0.4375,-0.104166666666667,0.0625
"9105nh.t1endexp",12,"New Haven","9105",FALSE,-0.0125000000000001,TRUE,0.0833333333333334,0.0125000000000001,0.15625
"9106nh.t1endexp",12,"New Haven","9106",TRUE,0.15625,TRUE,0.208333333333333,-0.15625,0
"9107nh.t1endexp",12,"New Haven","9107",TRUE,0.302499997615814,TRUE,0.35833332935969,-0.302499997615814,-0.278571426868439
"9108nh.t1endexp",12,"New Haven","9108",TRUE,0.146875001490116,TRUE,0.3125,-0.146875001490116,-0.0916666686534882
"9109nh.t1endexp",12,"New Haven","9109",TRUE,0.0277777777777778,TRUE,0.075,-0.0277777777777778,0.03125
"9110nh.t1endexp",12,"New Haven","9110",FALSE,-0.046875,TRUE,0.375,0.046875,0.107142857142857
"9111nh.t1endexp",12,"New Haven","9111",TRUE,0.0295454534617338,FALSE,-0.0750000029802322,-0.0295454534617338,-0.0892857142857143
"9112nh.t1endexp",12,"New Haven","9112",FALSE,-0.015625,FALSE,0,0.015625,0.025
