panel_label,dimension,outcome,slope,pairs,minimum_share,maximum_share,at_20,at_80
A1R 2019,gender,ext_dis,-0.09210006521740753,1853,0.09090909090909091,0.8,0.07847050109372458,0.02321046196328006
A1R 2019,gender,ext_grp,0.018122681603621467,1853,0.09090909090909091,0.8,0.0016020368561614838,0.012475645818334364
A1R Climate,combined,ext_dis,-0.10559366300773186,3659,0.16666666666666666,0.9444444444444444,0.0893750265877314,0.026018828783092276
A1R Climate,combined,ext_grp,-0.04186763243597452,3659,0.16666666666666666,0.9444444444444444,0.03202579280824105,0.00690521334665633
A1R Climate,education,ext_dis,-0.04001034228115869,5913,0.16666666666666666,0.9230769230769231,0.05391574677305868,0.029909541404363468
A1R Climate,education,ext_grp,0.016396998125511528,5913,0.16666666666666666,0.9230769230769231,3.934582559257072e-4,0.010231657131232624
A1R Climate,gender,ext_dis,-0.09917091144252518,6502,0.1,0.9,0.07689907357550868,0.01739652670999356
A1R Climate,gender,ext_grp,-0.002521343214152833,6502,0.1,0.9,0.0020339968483372344,5.211909198455343e-4
A1R Climate,income,ext_dis,-0.08434025056743631,6379,0.09090909090909091,0.9090909090909091,0.07190629672957324,0.02130214638911145
A1R Climate,income,ext_grp,-0.004423057292861155,6379,0.09090909090909091,0.9090909090909091,0.006583843029606607,0.003930008653889914
Celaya,combined,ext_dis,0.38743622448979637,30,0.8666666666666667,0.9333333333333333,NA,NA
Celaya,combined,ext_grp,0.5066964285714279,30,0.8666666666666667,0.9333333333333333,NA,NA
Celaya,education,ext_dis,0.10468020803553126,52,0.5333333333333333,0.8571428571428571,NA,0.02190996032433119
Celaya,education,ext_grp,0.07457534216237777,52,0.5333333333333333,0.8571428571428571,NA,-0.01164680869911854
Celaya,gender,ext_dis,-0.023979025546221076,54,0.35714285714285715,0.8,NA,0.02789131958217299
Celaya,gender,ext_grp,-0.12438079500924354,54,0.35714285714285715,0.8,NA,-0.041689269730690356
Celaya,income,ext_dis,0.237627596505303,53,0.5333333333333333,0.7142857142857143,NA,NA
Celaya,income,ext_grp,0.22330781403227146,53,0.5333333333333333,0.7142857142857143,NA,NA
Consensus: pupils,gender,ext_dis,-0.36429175917368634,41,0.25,0.8,NA,-0.05582983075493979
Consensus: pupils,gender,ext_grp,-0.29131478589714976,41,0.25,0.8,NA,-0.10012543774852951
Consensus: students,gender,ext_dis,0.5946745562130179,24,0.25,0.6666666666666666,NA,NA
Consensus: students,gender,ext_grp,0.11390532544378695,24,0.25,0.6666666666666666,NA,NA
Diplomacy: structured,gender,ext_dis,-0.04166666666666637,17,0.3333333333333333,0.6666666666666666,NA,NA
Diplomacy: structured,gender,ext_grp,0.3194444444444444,17,0.3333333333333333,0.6666666666666666,NA,NA
Diplomacy: unstructured,gender,ext_dis,0.02238805970149255,17,0.3333333333333333,0.6666666666666666,NA,NA
Diplomacy: unstructured,gender,ext_grp,-0.042910447761194286,17,0.3333333333333333,0.6666666666666666,NA,NA
"Our Budget, Our Economy",combined,ext_dis,-0.19352399340577042,397,0.3333333333333333,0.9166666666666666,NA,0.006999514647704361
"Our Budget, Our Economy",combined,ext_grp,-0.041960262481364,397,0.3333333333333333,0.9166666666666666,NA,-0.0074793287603140335
"Our Budget, Our Economy",education,ext_dis,-0.13328781658380465,1493,0.14285714285714285,0.8888888888888888,0.0970955059587994,0.017122816008516607
"Our Budget, Our Economy",education,ext_grp,0.011467685737558683,1493,0.14285714285714285,0.8888888888888888,-0.0017454209474713556,0.005135190495063854
"Our Budget, Our Economy",gender,ext_dis,-0.18002486586924,969,0.125,0.875,0.12021506401905947,0.012200144497515473
"Our Budget, Our Economy",gender,ext_grp,-0.03925517873593207,969,0.125,0.875,0.01652737748021728,-0.007025729761341964
"Our Budget, Our Economy",income,ext_dis,-0.17625214229107442,1486,0.125,0.8888888888888888,0.12005626899545083,0.014304983620806169
"Our Budget, Our Economy",income,ext_grp,-0.03813244403221245,1486,0.125,0.8888888888888888,0.018969810166733665,-0.003909656252593806
Shizuoka,education,ext_dis,-0.0730244123653231,75,0.2222222222222222,0.7777777777777778,NA,NA
Shizuoka,education,ext_grp,-0.10334185940471566,75,0.2222222222222222,0.7777777777777778,NA,NA
Shizuoka,gender,ext_dis,0.029796114282807984,57,0.125,0.8571428571428571,0.04829302248382919,0.06617069105351397
Shizuoka,gender,ext_grp,0.06878595818336046,57,0.125,0.8571428571428571,-0.01971674648649032,0.02155482842352596
Tanzania,gender,ext_dis,-0.13276468275689554,517,0.23076923076923078,0.8,NA,0.034906974820218754
Tanzania,gender,ext_grp,-0.03337603980172971,517,0.23076923076923078,0.8,NA,-0.015245090495326102
UK: mixed-party,gender,ext_dis,-0.06021011332395386,156,0.14285714285714285,0.8571428571428571,0.04571229801636887,0.00958623002199655
UK: mixed-party,gender,ext_grp,0.0013526749576737618,156,0.14285714285714285,0.8571428571428571,-0.006401145863457905,-0.005589540888853647
UK: same-party,gender,ext_dis,-0.027288040612017728,162,0.125,0.875,0.021025517295221778,0.004652692928011139
UK: same-party,gender,ext_grp,0.017482043562672828,162,0.125,0.875,-0.024357116863097522,-0.013867890725493826
