panel_label,mean_h,mean_p,mean_d_gender,mean_p_absolute,pairs_h,pairs_p,pairs_d_gender,pairs_p_absolute
Corrected original,1.228985072459119,-2.2365708624233775,0.19169913027719182,0.7890874242023347,2480,2434,2433,2480
UK: same-party,5.211885710170279,6.023366261398177,-1.934156378600824,6.0537613981762926,188,188,162,188
UK: mixed-party,0.5237042034701408,-1.2682166826462136,-0.5973748473748461,1.4916666666666663,160,149,156,160
Diplomacy: structured,12.884132369112693,-1.1363636363636358,1.470588235294118,5.246913580246914,27,22,17,27
Diplomacy: unstructured,6.40745442510535,4.545454545454545,-6.862745098039216,8.035714285714285,28,22,17,28
