event_id,construct,membership,metric,pairs,mean,positive_fraction,specification
whatsapp_igr_HH,stereotype_judgment,paired,d_education,57,-0.024122807017543844,0.2807017543859649,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,paired,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,paired,d_income,210,-0.014880952380952411,0.28095238095238095,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,paired,h,576,-0.008593311576919865,0.2864583333333333,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,paired,p,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,paired,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,d_combined,42,0.01488095238095242,0.42857142857142855,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,d_education,117,-0.025641025641025685,0.3076923076923077,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,d_income,187,0.02540106951871659,0.39572192513368987,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,h,620,0.02223964876312532,0.34838709677419355,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,p,601,-0.08527454242928455,0.16971713810316139,exclude_flagged_respondents
whatsapp_igr_HM,affect,paired,p_absolute,820,-0.007012195121951285,0.27682926829268295,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,d_combined,39,0.006410256410256421,0.4358974358974359,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,d_education,104,-0.02524038461538463,0.27884615384615385,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,d_income,145,-0.010344827586206905,0.31724137931034485,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,h,496,0.01069213882842563,0.3185483870967742,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,p,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,paired,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,d_combined,76,-0.008223684210526305,0.32894736842105265,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,d_education,166,-0.009789156626506014,0.3313253012048193,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,d_income,324,0.006944444444444347,0.3425925925925926,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,h,830,0.014908877916583829,0.3325301204819277,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,p,691,-0.07145441389290882,0.19247467438494936,exclude_flagged_respondents
whatsapp_gen_HH,affect,available,p_absolute,960,0.007942708333333342,0.31979166666666664,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,d_combined,55,0.009090909090909125,0.36363636363636365,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,d_education,132,-0.008522727272727276,0.3560606060606061,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,d_income,262,4.7709923664124125e-4,0.3320610687022901,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,h,672,-0.002893666143248534,0.2976190476190476,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,p,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HH,stereotype_judgment,available,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,d_combined,90,0.001388888888888894,0.4111111111111111,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,d_education,154,0.01866883116883115,0.42857142857142855,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,d_income,280,0.015625,0.3892857142857143,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,h,680,0.004939348839170688,0.3205882352941177,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,p,622,-0.08741961414790994,0.1945337620578778,exclude_flagged_respondents
whatsapp_gen_HM,affect,available,p_absolute,800,-0.0023437500000001027,0.3275,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,d_combined,85,0.011764705882352976,0.4,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,d_education,136,0.022058823529411808,0.4632352941176471,exclude_flagged_respondents
