key,value,formatted
correctedoriginal.policy.available.h,0.012849354473943484,0.013
correctedoriginal.policy.available.p,-0.022210725585501453,-0.022
correctedoriginal.policy.available.d_gender,0.0017542999619123444,0.002
correctedoriginal.policy.available.d_education,0.010042515830050875,0.010
correctedoriginal.policy.available.d_income,0.0015062635914549556,0.002
correctedoriginal.policy.available.d_combined,0.012851849946904416,0.013
correctedoriginal.policy.available.p_absolute,0.008838345608620544,0.009
correctedoriginal.policy.paired.h,0.012289850724591189,0.012
correctedoriginal.policy.paired.p,-0.022365708624233774,-0.022
correctedoriginal.policy.paired.d_gender,0.0019169913027719183,0.002
correctedoriginal.policy.paired.d_education,0.01107427032423586,0.011
correctedoriginal.policy.paired.d_income,0.002937421993993166,0.003
correctedoriginal.policy.paired.d_combined,0.013983383950957108,0.014
correctedoriginal.policy.paired.p_absolute,0.007890874242023347,0.008
a1r2019.policy.available.h,0.03525434660561116,0.035
a1r2019.policy.available.p,0.012982148812116515,0.013
a1r2019.policy.available.d_gender,0.005919640923004756,0.006
a1r2019.policy.available.p_absolute,0.04539137008086478,0.045
a1r2019.policy.paired.h,0.034405451603256525,0.034
a1r2019.policy.paired.p,0.014421923665451204,0.014
a1r2019.policy.paired.d_gender,0.006968575587032138,0.007
a1r2019.policy.paired.p_absolute,0.0470754011059862,0.047
ourbudgetoureconomy.policy.available.h,0.017410601544338725,0.017
ourbudgetoureconomy.policy.available.p,-0.017210865230231416,-0.017
ourbudgetoureconomy.policy.available.d_gender,0.007784072102975074,0.008
ourbudgetoureconomy.policy.available.d_education,0.004829048545901824,0.005
ourbudgetoureconomy.policy.available.d_income,0.009912896932127714,0.010
ourbudgetoureconomy.policy.available.d_combined,0.011796016483516466,0.012
ourbudgetoureconomy.policy.available.p_absolute,0.03806970300025858,0.038
ourbudgetoureconomy.policy.paired.h,0.008476485300053646,0.008
ourbudgetoureconomy.policy.paired.p,-0.019434724720028523,-0.019
ourbudgetoureconomy.policy.paired.d_gender,0.005135694628728641,0.005
ourbudgetoureconomy.policy.paired.d_education,0.0025259411645881737,0.003
ourbudgetoureconomy.policy.paired.d_income,0.005872601956888649,0.006
ourbudgetoureconomy.policy.paired.d_combined,-0.0044265523169805246,-0.004
ourbudgetoureconomy.policy.paired.p_absolute,0.027521170015505362,0.028
hongkongfacilitated.policy.available.h,-0.14461132959494832,-0.145
hongkongfacilitated.policy.available.p,0,0.000
hongkongfacilitated.policy.available.p_absolute,0,0.000
hongkongfacilitated.policy.paired.h,-0.14461132959494832,-0.145
hongkongfacilitated.policy.paired.p,0,0.000
hongkongfacilitated.policy.paired.p_absolute,0,0.000
hongkongcasual.policy.available.h,-0.04034096487552652,-0.040
hongkongcasual.policy.available.p_absolute,0.033333333333333326,0.033
hongkongcasual.policy.paired.h,-0.04034096487552652,-0.040
hongkongcasual.policy.paired.p_absolute,0.033333333333333326,0.033
tanzania.policy.available.h,-0.00556495482044937,-0.006
tanzania.policy.available.p,-0.036964365114654125,-0.037
tanzania.policy.available.d_gender,-0.00840860085540938,-0.008
tanzania.policy.available.p_absolute,-0.005957962672248376,-0.006
tanzania.policy.paired.h,-0.005110639111677843,-0.005
tanzania.policy.paired.p,-0.03830942401615479,-0.038
tanzania.policy.paired.d_gender,-0.005371478403393306,-0.005
tanzania.policy.paired.p_absolute,-0.007626856212570503,-0.008
a1rclimate.climate_belief.available.h,0.04373518205327465,0.044
a1rclimate.climate_belief.available.p,0.04355242239934754,0.044
a1rclimate.climate_belief.available.d_gender,0.001565487788254662,0.002
a1rclimate.climate_belief.available.d_education,0.016164712028146257,0.016
a1rclimate.climate_belief.available.d_income,0.008369925371228432,0.008
a1rclimate.climate_belief.available.d_combined,0.012915261528752588,0.013
a1rclimate.climate_belief.available.p_absolute,0.046183276321406556,0.046
a1rclimate.climate_belief.paired.h,0.04381114643142114,0.044
a1rclimate.climate_belief.paired.p,0.04492753006037435,0.045
a1rclimate.climate_belief.paired.d_gender,0.0010043622534522414,0.001
a1rclimate.climate_belief.paired.d_education,0.018869077900093227,0.019
a1rclimate.climate_belief.paired.d_income,0.009603262218569707,0.010
a1rclimate.climate_belief.paired.d_combined,0.01347475421708159,0.013
a1rclimate.climate_belief.paired.p_absolute,0.04776084697670833,0.048
a1rclimate.environmental_concern.available.h,0.03335597381582283,0.033
a1rclimate.environmental_concern.available.p,0.034479975187370684,0.034
a1rclimate.environmental_concern.available.d_gender,-0.003149911108583316,-0.003
a1rclimate.environmental_concern.available.d_education,0.018981079976474587,0.019
a1rclimate.environmental_concern.available.d_income,0.014000075562575556,0.014
a1rclimate.environmental_concern.available.d_combined,0.008495615176649672,0.008
a1rclimate.environmental_concern.available.p_absolute,0.04764940879226594,0.048
a1rclimate.environmental_concern.paired.h,0.03285394653833588,0.033
a1rclimate.environmental_concern.paired.p,0.03416993937961679,0.034
a1rclimate.environmental_concern.paired.d_gender,-0.0029299098013519306,-0.003
a1rclimate.environmental_concern.paired.d_education,0.019599770036219613,0.020
a1rclimate.environmental_concern.paired.d_income,0.01278297247047247,0.013
a1rclimate.environmental_concern.paired.d_combined,0.009042162599305466,0.009
a1rclimate.environmental_concern.paired.p_absolute,0.04748829829782211,0.047
a1rclimate.policy.available.h,0.03047816315354245,0.030
a1rclimate.policy.available.p,0.021567336422233255,0.022
a1rclimate.policy.available.d_gender,0.001372333375596089,0.001
