family_id,format,construct,timing_class,membership,metric,pairs,mean,positive_fraction
a1r,deliberative_poll,policy,immediate,paired,d_combined,3659,0.006010000769075889,0.4911177917463788
a1r,deliberative_poll,policy,immediate,paired,d_education,5913,0.00912152330878268,0.5147979029257568
a1r,deliberative_poll,policy,immediate,paired,d_gender,8355,0.0025088441869517003,0.48090963494913225
a1r,deliberative_poll,policy,immediate,paired,d_income,6379,0.0049809711521855374,0.48832105345665466
a1r,deliberative_poll,policy,immediate,paired,h,8664,0.030887876408573336,0.6548938134810711
a1r,deliberative_poll,policy,immediate,paired,p,8580,0.021945805786303504,0.6037296037296037
a1r,deliberative_poll,policy,immediate,paired,p_absolute,8705,0.04101472151489047,0.6565192418150488
a1r,deliberative_poll,environmental_concern,immediate,paired,d_combined,175,0.009042162599305466,0.5142857142857142
a1r,deliberative_poll,environmental_concern,immediate,paired,d_education,280,0.019599770036219613,0.6107142857142858
a1r,deliberative_poll,environmental_concern,immediate,paired,d_gender,310,-0.0029299098013519306,0.46774193548387094
a1r,deliberative_poll,environmental_concern,immediate,paired,d_income,296,0.01278297247047247,0.5371621621621622
a1r,deliberative_poll,environmental_concern,immediate,paired,h,315,0.03285394653833588,0.6857142857142857
a1r,deliberative_poll,environmental_concern,immediate,paired,p,310,0.03416993937961679,0.6870967741935484
a1r,deliberative_poll,environmental_concern,immediate,paired,p_absolute,315,0.04748829829782211,0.7365079365079366
a1r,deliberative_poll,climate_belief,immediate,paired,d_combined,230,0.01347475421708159,0.5217391304347826
a1r,deliberative_poll,climate_belief,immediate,paired,d_education,376,0.018869077900093227,0.5531914893617021
a1r,deliberative_poll,climate_belief,immediate,paired,d_gender,404,0.0010043622534522414,0.42326732673267325
a1r,deliberative_poll,climate_belief,immediate,paired,d_income,396,0.009603262218569707,0.5126262626262627
a1r,deliberative_poll,climate_belief,immediate,paired,h,419,0.04381114643142114,0.7326968973747017
a1r,deliberative_poll,climate_belief,immediate,paired,p,419,0.04492753006037435,0.7279236276849642
a1r,deliberative_poll,climate_belief,immediate,paired,p_absolute,420,0.04776084697670833,0.7333333333333333
celaya_2018,facilitated_discussion,policy,immediate,paired,d_combined,30,-0.014444444444444442,0.36666666666666664
celaya_2018,facilitated_discussion,policy,immediate,paired,d_education,52,-0.018612637362637362,0.3269230769230769
celaya_2018,facilitated_discussion,policy,immediate,paired,d_gender,54,-0.010802469135802469,0.4074074074074074
celaya_2018,facilitated_discussion,policy,immediate,paired,d_income,53,-0.01680143755615453,0.3584905660377358
celaya_2018,facilitated_discussion,policy,immediate,paired,h,56,-0.015039695306280335,0.3392857142857143
celaya_2018,facilitated_discussion,policy,immediate,paired,p,53,-0.030592991913746634,0.2830188679245283
celaya_2018,facilitated_discussion,policy,immediate,paired,p_absolute,56,-0.013095238095238096,0.375
consensus,classroom_discussion,policy,immediate,paired,d_combined,0,NA,NA
consensus,classroom_discussion,policy,immediate,paired,d_education,0,NA,NA
consensus,classroom_discussion,policy,immediate,paired,d_gender,41,-0.03570460704607044,0.34146341463414637
consensus,classroom_discussion,policy,immediate,paired,d_income,0,NA,NA
consensus,classroom_discussion,policy,immediate,paired,h,56,0.023503081176205243,0.5535714285714286
consensus,classroom_discussion,policy,immediate,paired,p,0,NA,NA
consensus,classroom_discussion,policy,immediate,paired,p_absolute,0,NA,NA
consensus,laboratory_discussion,policy,immediate,paired,d_combined,0,NA,NA
consensus,laboratory_discussion,policy,immediate,paired,d_education,0,NA,NA
consensus,laboratory_discussion,policy,immediate,paired,d_gender,24,0.0017361111111111201,0.3333333333333333
consensus,laboratory_discussion,policy,immediate,paired,d_income,0,NA,NA
consensus,laboratory_discussion,policy,immediate,paired,h,82,0.012582772135979706,0.2804878048780488
consensus,laboratory_discussion,policy,immediate,paired,p,74,-0.005630630630630633,0.22972972972972974
consensus,laboratory_discussion,policy,immediate,paired,p_absolute,82,0.024136178861788617,0.34146341463414637
cross_party_2021,dyadic_cross_party,affect,immediate,paired,d_combined,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,paired,d_education,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,paired,d_gender,624,-0.002724358974358953,0.42948717948717946
cross_party_2021,dyadic_cross_party,affect,immediate,paired,d_income,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,paired,h,1323,0.018540842206622322,0.48677248677248675
cross_party_2021,dyadic_cross_party,affect,immediate,paired,p,1248,-0.015200320512820498,0.42788461538461536
cross_party_2021,dyadic_cross_party,affect,immediate,paired,p_absolute,1323,0.01060090702947846,0.5003779289493575
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,d_combined,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,d_education,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,d_gender,17,-0.06862745098039216,0.11764705882352941
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,d_income,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,h,28,0.0640745442510535,0.5714285714285714
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,p,22,0.04545454545454545,0.4090909090909091
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,paired,p_absolute,28,0.08035714285714285,0.5357142857142857
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,d_combined,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,d_education,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,d_gender,3,0.027777777777777773,0.3333333333333333
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,d_income,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,h,7,0.03749375134063141,0.42857142857142855
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,p,4,0,0.25
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,paired,p_absolute,7,0.047619047619047616,0.42857142857142855
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,d_combined,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,d_education,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,d_gender,17,0.01470588235294118,0.4117647058823529
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,d_income,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,h,27,0.12884132369112694,0.7407407407407407
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,p,22,-0.011363636363636357,0.3181818181818182
diplomacy_2020,triadic_structured_discussion,policy,immediate,paired,p_absolute,27,0.05246913580246914,0.48148148148148145
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,d_combined,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,d_education,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,d_gender,5,-0.05,0.2
