family_id,format,construct,timing_class,membership,metric,pairs,mean,positive_fraction
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,d_income,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,h,8,0.060217670658965036,0.5
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,p,5,-8.326672684688675e-18,0.4
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,paired,p_absolute,8,0.03125,0.5
echo_2021,partisan_discussion,policy,immediate,paired,d_combined,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,paired,d_education,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,paired,d_gender,162,-0.01934156378600824,0.43209876543209874
echo_2021,partisan_discussion,policy,immediate,paired,d_income,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,paired,h,188,0.05211885710170279,0.7446808510638298
echo_2021,partisan_discussion,policy,immediate,paired,p,188,0.06023366261398177,0.7606382978723404
echo_2021,partisan_discussion,policy,immediate,paired,p_absolute,188,0.060537613981762925,0.7659574468085106
echo_2021,mixed_partisan_discussion,policy,immediate,paired,d_combined,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,paired,d_education,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,paired,d_gender,156,-0.0059737484737484615,0.4166666666666667
echo_2021,mixed_partisan_discussion,policy,immediate,paired,d_income,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,paired,h,160,0.0052370420347014075,0.54375
echo_2021,mixed_partisan_discussion,policy,immediate,paired,p,149,-0.012682166826462136,0.40268456375838924
echo_2021,mixed_partisan_discussion,policy,immediate,paired,p_absolute,160,0.014916666666666661,0.525
hongkong_2020,facilitated_discussion,policy,immediate,paired,d_combined,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,paired,d_education,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,paired,d_gender,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,paired,d_income,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,paired,h,1,-0.14461132959494832,0
hongkong_2020,facilitated_discussion,policy,immediate,paired,p,1,0,0
hongkong_2020,facilitated_discussion,policy,immediate,paired,p_absolute,1,0,0
hongkong_2020,casual_discussion,policy,immediate,paired,d_combined,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,paired,d_education,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,paired,d_gender,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,paired,d_income,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,paired,h,1,-0.04034096487552652,0
hongkong_2020,casual_discussion,policy,immediate,paired,p,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,paired,p_absolute,1,0.033333333333333326,1
oboe_2010,town_meeting,policy,immediate,paired,d_combined,397,-0.0044265523169805246,0.4332493702770781
oboe_2010,town_meeting,policy,immediate,paired,d_education,1493,0.0025259411645881737,0.44608171466845276
oboe_2010,town_meeting,policy,immediate,paired,d_gender,969,0.005135694628728641,0.4324045407636739
oboe_2010,town_meeting,policy,immediate,paired,d_income,1486,0.005872601956888649,0.4407806191117093
oboe_2010,town_meeting,policy,immediate,paired,h,1937,0.008476485300053646,0.4434692823954569
oboe_2010,town_meeting,policy,immediate,paired,p,1827,-0.019434724720028523,0.39299397920087575
oboe_2010,town_meeting,policy,immediate,paired,p_absolute,1986,0.027521170015505362,0.4874118831822759
tanzania_2015,deliberative_poll,policy,delayed,paired,d_combined,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,paired,d_education,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,paired,d_gender,517,-0.005371478403393306,0.46034816247582205
tanzania_2015,deliberative_poll,policy,delayed,paired,d_income,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,paired,h,525,-0.005110639111677843,0.4780952380952381
tanzania_2015,deliberative_poll,policy,delayed,paired,p,520,-0.03830942401615479,0.37115384615384617
tanzania_2015,deliberative_poll,policy,delayed,paired,p_absolute,525,-0.007626856212570503,0.43047619047619046
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,d_combined,94,0,0.3404255319148936
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,d_education,201,0.0031094527363183847,0.35323383084577115
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,d_income,362,0.014157458563535912,0.36187845303867405
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,h,940,0.015232885445774018,0.33191489361702126
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,p,714,-0.0675770308123249,0.19607843137254902
whatsapp,dyadic_online_gen_HH,affect,immediate,paired,p_absolute,990,0.007954545454545466,0.3212121212121212
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,d_combined,68,-0.012867647058823532,0.29411764705882354
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,d_education,158,-0.012658227848101245,0.3227848101265823
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,d_income,295,-0.0012711864406779307,0.33220338983050846
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,h,760,-0.001395605489183963,0.2986842105263158
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,p,0,NA,NA
whatsapp,dyadic_online_gen_HH,stereotype_judgment,immediate,paired,p_absolute,0,NA,NA
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,d_combined,97,0.04123711340206183,0.44329896907216493
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,d_education,146,0.00941780821917804,0.3767123287671233
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,d_income,303,0.027640264026402617,0.39933993399339934
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,h,740,0.008838834764831821,0.327027027027027
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,p,619,-0.08057350565428106,0.18578352180936994
whatsapp,dyadic_online_gen_HM,affect,immediate,paired,p_absolute,800,-0.002656249999999987,0.31625
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,d_combined,99,0.007575757575757583,0.36363636363636365
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,d_education,129,-0.008720930232558134,0.37209302325581395
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,d_income,251,0.01892430278884461,0.3545816733067729
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,h,600,0.025927248643506734,0.3383333333333333
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,p,0,NA,NA
whatsapp,dyadic_online_gen_HM,stereotype_judgment,immediate,paired,p_absolute,0,NA,NA
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,d_combined,16,-0.0078125,0.375
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,d_education,89,0.008426966292134852,0.3707865168539326
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,d_income,281,-4.448398576512396e-4,0.35231316725978645
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,h,870,0.012597879434932707,0.3333333333333333
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,p,680,-0.08731617647058819,0.17058823529411765
whatsapp,dyadic_online_igr_HH,affect,immediate,paired,p_absolute,920,0.00679347826086954,0.3239130434782609
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,d_combined,12,0.03125,0.3333333333333333
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,d_education,71,-0.024647887323943646,0.2676056338028169
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,d_income,235,-0.02127659574468088,0.2680851063829787
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,h,696,-0.0015239370284192753,0.2959770114942529
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,p,0,NA,NA
whatsapp,dyadic_online_igr_HH,stereotype_judgment,immediate,paired,p_absolute,0,NA,NA
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,d_combined,52,0.014423076923076964,0.36538461538461536
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,d_education,144,-0.032118055555555546,0.2708333333333333
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,d_income,240,0.021354166666666622,0.3958333333333333
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,h,750,0.016499158227686158,0.3293333333333333
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,p,640,-0.08613281250000003,0.165625
whatsapp,dyadic_online_igr_HM,affect,immediate,paired,p_absolute,830,-0.008433734939759083,0.28072289156626506
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,d_combined,47,0.010638297872340424,0.3829787234042553
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,d_education,126,-0.026785714285714295,0.2619047619047619
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,d_gender,0,NA,NA
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,d_income,184,0.0013586956521739356,0.31521739130434784
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,h,600,0.010606601717798205,0.30833333333333335
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,p,0,NA,NA
whatsapp,dyadic_online_igr_HM,stereotype_judgment,immediate,paired,p_absolute,0,NA,NA
a1r,deliberative_poll,policy,immediate,available,d_combined,3682,0.006487374745514521,0.503530689842477
a1r,deliberative_poll,policy,immediate,available,d_education,5950,0.00964008807005595,0.5280672268907562
a1r,deliberative_poll,policy,immediate,available,d_gender,8389,0.0023794733711957014,0.4914769340803433
a1r,deliberative_poll,policy,immediate,available,d_income,6405,0.005383312975922136,0.4967993754879001
a1r,deliberative_poll,policy,immediate,available,h,8666,0.031514307267307654,0.6633971843987999
a1r,deliberative_poll,policy,immediate,available,p,8587,0.019710728364473094,0.6071969255851869
a1r,deliberative_poll,policy,immediate,available,p_absolute,8705,0.03864760646020571,0.6607696726019529
a1r,deliberative_poll,environmental_concern,immediate,available,d_combined,174,0.008495615176649672,0.5172413793103449
a1r,deliberative_poll,environmental_concern,immediate,available,d_education,281,0.018981079976474587,0.6156583629893239
a1r,deliberative_poll,environmental_concern,immediate,available,d_gender,311,-0.003149911108583316,0.47266881028938906
a1r,deliberative_poll,environmental_concern,immediate,available,d_income,296,0.014000075562575556,0.5337837837837838
a1r,deliberative_poll,environmental_concern,immediate,available,h,315,0.03335597381582283,0.6825396825396826
a1r,deliberative_poll,environmental_concern,immediate,available,p,311,0.034479975187370684,0.6977491961414791
a1r,deliberative_poll,environmental_concern,immediate,available,p_absolute,315,0.04764940879226594,0.746031746031746
a1r,deliberative_poll,climate_belief,immediate,available,d_combined,230,0.012915261528752588,0.5347826086956522
a1r,deliberative_poll,climate_belief,immediate,available,d_education,377,0.016164712028146257,0.5570291777188329
a1r,deliberative_poll,climate_belief,immediate,available,d_gender,405,0.001565487788254662,0.4419753086419753
a1r,deliberative_poll,climate_belief,immediate,available,d_income,395,0.008369925371228432,0.5063291139240507
a1r,deliberative_poll,climate_belief,immediate,available,h,419,0.04373518205327465,0.7374701670644391
a1r,deliberative_poll,climate_belief,immediate,available,p,418,0.04355242239934754,0.7272727272727273
a1r,deliberative_poll,climate_belief,immediate,available,p_absolute,420,0.046183276321406556,0.7333333333333333
celaya_2018,facilitated_discussion,policy,immediate,available,d_combined,30,-0.014444444444444442,0.36666666666666664
celaya_2018,facilitated_discussion,policy,immediate,available,d_education,52,-0.018612637362637362,0.3269230769230769
celaya_2018,facilitated_discussion,policy,immediate,available,d_gender,54,-0.010802469135802469,0.4074074074074074
celaya_2018,facilitated_discussion,policy,immediate,available,d_income,53,-0.01680143755615453,0.3584905660377358
celaya_2018,facilitated_discussion,policy,immediate,available,h,56,-0.015039695306280335,0.3392857142857143
celaya_2018,facilitated_discussion,policy,immediate,available,p,53,-0.030592991913746634,0.2830188679245283
celaya_2018,facilitated_discussion,policy,immediate,available,p_absolute,56,-0.013095238095238096,0.375
consensus,classroom_discussion,policy,immediate,available,d_combined,0,NA,NA
consensus,classroom_discussion,policy,immediate,available,d_education,0,NA,NA
consensus,classroom_discussion,policy,immediate,available,d_gender,41,-0.03570460704607044,0.34146341463414637
consensus,classroom_discussion,policy,immediate,available,d_income,0,NA,NA
consensus,classroom_discussion,policy,immediate,available,h,56,0.023503081176205243,0.5535714285714286
consensus,classroom_discussion,policy,immediate,available,p,0,NA,NA
consensus,classroom_discussion,policy,immediate,available,p_absolute,0,NA,NA
consensus,laboratory_discussion,policy,immediate,available,d_combined,0,NA,NA
consensus,laboratory_discussion,policy,immediate,available,d_education,0,NA,NA
consensus,laboratory_discussion,policy,immediate,available,d_gender,24,0.0017361111111111201,0.3333333333333333
consensus,laboratory_discussion,policy,immediate,available,d_income,0,NA,NA
consensus,laboratory_discussion,policy,immediate,available,h,82,0.012582772135979706,0.2804878048780488
consensus,laboratory_discussion,policy,immediate,available,p,74,-0.005630630630630633,0.22972972972972974
consensus,laboratory_discussion,policy,immediate,available,p_absolute,82,0.024136178861788617,0.34146341463414637
cross_party_2021,dyadic_cross_party,affect,immediate,available,d_combined,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,available,d_education,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,available,d_gender,624,-0.002724358974358953,0.42948717948717946
cross_party_2021,dyadic_cross_party,affect,immediate,available,d_income,0,NA,NA
cross_party_2021,dyadic_cross_party,affect,immediate,available,h,1323,0.018540842206622322,0.48677248677248675
cross_party_2021,dyadic_cross_party,affect,immediate,available,p,1248,-0.015200320512820498,0.42788461538461536
cross_party_2021,dyadic_cross_party,affect,immediate,available,p_absolute,1323,0.01060090702947846,0.5003779289493575
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,d_combined,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,d_education,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,d_gender,17,-0.06862745098039216,0.11764705882352941
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,d_income,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,h,28,0.0640745442510535,0.5714285714285714
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,p,22,0.04545454545454545,0.4090909090909091
diplomacy_2020,triadic_unstructured_discussion,policy,immediate,available,p_absolute,28,0.08035714285714285,0.5357142857142857
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,d_combined,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,d_education,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,d_gender,3,0.027777777777777773,0.3333333333333333
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,d_income,0,NA,NA
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,h,7,0.03749375134063141,0.42857142857142855
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,p,4,0,0.25
diplomacy_2020,triadic_unstructured_discussion,social_judgment,immediate,available,p_absolute,7,0.047619047619047616,0.42857142857142855
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,d_combined,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,d_education,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,d_gender,17,0.01470588235294118,0.4117647058823529
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,d_income,0,NA,NA
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,h,27,0.12884132369112694,0.7407407407407407
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,p,22,-0.011363636363636357,0.3181818181818182
diplomacy_2020,triadic_structured_discussion,policy,immediate,available,p_absolute,27,0.05246913580246914,0.48148148148148145
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,d_combined,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,d_education,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,d_gender,5,-0.05,0.2
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,d_income,0,NA,NA
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,h,8,0.060217670658965036,0.5
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,p,5,-8.326672684688675e-18,0.4
diplomacy_2020,triadic_structured_discussion,social_judgment,immediate,available,p_absolute,8,0.03125,0.5
echo_2021,partisan_discussion,policy,immediate,available,d_combined,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,available,d_education,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,available,d_gender,163,-0.022165985003408314,0.44785276073619634
echo_2021,partisan_discussion,policy,immediate,available,d_income,0,NA,NA
echo_2021,partisan_discussion,policy,immediate,available,h,188,0.050445335170570926,0.7446808510638298
echo_2021,partisan_discussion,policy,immediate,available,p,188,0.058858704829449514,0.75
echo_2021,partisan_discussion,policy,immediate,available,p_absolute,188,0.05899168355285377,0.75
echo_2021,mixed_partisan_discussion,policy,immediate,available,d_combined,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,available,d_education,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,available,d_gender,156,-0.009423076923076912,0.40384615384615385
echo_2021,mixed_partisan_discussion,policy,immediate,available,d_income,0,NA,NA
echo_2021,mixed_partisan_discussion,policy,immediate,available,h,160,0.004364887441674871,0.53125
echo_2021,mixed_partisan_discussion,policy,immediate,available,p,149,-0.01588207094918505,0.38926174496644295
echo_2021,mixed_partisan_discussion,policy,immediate,available,p_absolute,160,0.016020833333333335,0.54375
hongkong_2020,facilitated_discussion,policy,immediate,available,d_combined,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,available,d_education,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,available,d_gender,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,available,d_income,0,NA,NA
hongkong_2020,facilitated_discussion,policy,immediate,available,h,1,-0.14461132959494832,0
hongkong_2020,facilitated_discussion,policy,immediate,available,p,1,0,0
hongkong_2020,facilitated_discussion,policy,immediate,available,p_absolute,1,0,0
hongkong_2020,casual_discussion,policy,immediate,available,d_combined,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,available,d_education,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,available,d_gender,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,available,d_income,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,available,h,1,-0.04034096487552652,0
hongkong_2020,casual_discussion,policy,immediate,available,p,0,NA,NA
hongkong_2020,casual_discussion,policy,immediate,available,p_absolute,1,0.033333333333333326,1
oboe_2010,town_meeting,policy,immediate,available,d_combined,520,0.011796016483516466,0.5038461538461538
oboe_2010,town_meeting,policy,immediate,available,d_education,1697,0.004829048545901824,0.5008839127872716
oboe_2010,town_meeting,policy,immediate,available,d_gender,1103,0.007784072102975074,0.4913871260199456
oboe_2010,town_meeting,policy,immediate,available,d_income,1690,0.009912896932127714,0.493491124260355
oboe_2010,town_meeting,policy,immediate,available,h,1982,0.017410601544338725,0.5105953582240161
oboe_2010,town_meeting,policy,immediate,available,p,1846,-0.017210865230231416,0.4647887323943662
oboe_2010,town_meeting,policy,immediate,available,p_absolute,1998,0.03806970300025858,0.5835835835835835
tanzania_2015,deliberative_poll,policy,delayed,available,d_combined,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,available,d_education,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,available,d_gender,517,-0.00840860085540938,0.4526112185686654
tanzania_2015,deliberative_poll,policy,delayed,available,d_income,0,NA,NA
tanzania_2015,deliberative_poll,policy,delayed,available,h,525,-0.00556495482044937,0.4857142857142857
tanzania_2015,deliberative_poll,policy,delayed,available,p,519,-0.036964365114654125,0.371868978805395
tanzania_2015,deliberative_poll,policy,delayed,available,p_absolute,525,-0.005957962672248376,0.4419047619047619
whatsapp,dyadic_online_gen_HH,affect,immediate,available,d_combined,94,0,0.3404255319148936
whatsapp,dyadic_online_gen_HH,affect,immediate,available,d_education,206,-0.002427184466019427,0.34951456310679613
