comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies,remaining_families,mean_without_family
Original DPs,policy,available,p,9,-0.008231710224026441,0.42657342657342656,143,1,20,-0.023689550994856645
Original DPs,policy,available,p_absolute,9,0.017009966354214874,0.5,144,1,20,0.015600977080229533
Original DPs,policy,available,h,16,0.0033066521910574053,0.4791666666666667,48,1,20,0.011171046877703617
Original DPs,policy,available,p,16,0.009451051595177621,0.5957446808510638,47,1,20,-0.02457368908581685
Original DPs,policy,available,p_absolute,16,0.0209132155746612,0.6458333333333334,48,1,20,0.015405814619207217
Original DPs,policy,available,h,14,0.006593623228496226,0.5481481481481482,135,1,20,0.011006698325831676
Original DPs,policy,available,p,14,-0.012042602214522035,0.48854961832061067,131,1,20,-0.023499006395331867
Original DPs,policy,available,p_absolute,14,0.005276113531271011,0.5777777777777777,135,1,20,0.016187669721376727
Original DPs,policy,available,h,11,0.005814623081210447,0.56,50,1,20,0.011045648333195966
Original DPs,policy,available,p,11,-0.01973098580091377,0.42857142857142855,49,1,20,-0.02311458721601228
Original DPs,policy,available,p_absolute,11,0.006621387272857845,0.5,50,1,20,0.016120406034297385
Original DPs,policy,paired,d_gender,12,0.04385075854366106,0.59375,32,1,20,0.0016758843363818877
Original DPs,policy,paired,d_gender,13,4.195168115667153e-4,0.4666666666666667,210,1,20,0.003847446422986605
Original DPs,policy,paired,d_gender,20,-0.0035209493973200052,0.4053030303030303,264,1,20,0.004044469733430941
Original DPs,policy,paired,d_gender,15,0.013376081033031563,0.5222222222222223,90,1,20,0.0031996182119133623
Original DPs,policy,paired,d_gender,17,0.0032425539232605795,0.5050505050505051,99,1,20,0.0037062945674019116
Original DPs,policy,paired,d_gender,18,0.0019107898625266568,0.4722222222222222,324,1,20,0.003772882770438608
Original DPs,policy,paired,d_gender,1,0.03051915597025311,0.5555555555555556,63,1,20,0.002342464465052285
Original DPs,policy,paired,d_gender,2,-0.017965708688701836,0.37593984962406013,133,1,20,0.004766707698000032
Original DPs,policy,paired,d_gender,3,-0.004324783341491675,0.43333333333333335,60,1,20,0.004084661430639525
Original DPs,policy,paired,d_gender,4,0.018702687043363933,0.5333333333333333,60,1,20,0.002933287911396744
Original DPs,policy,paired,d_gender,5,0.02691795041802863,0.5531914893617021,47,1,20,0.002522524742663509
Original DPs,policy,paired,d_gender,6,0.0017665863016759053,0.494949494949495,99,1,20,0.0037800929484811453
Original DPs,policy,paired,d_gender,7,0.018081168992542813,0.536,125,1,20,0.0029643638139377998
Original DPs,policy,paired,d_gender,8,-0.01822078392819208,0.3854166666666667,96,1,20,0.004779461459974545
Original DPs,policy,paired,d_gender,19,-0.0065564150148258215,0.4523809523809524,84,1,20,0.004196243014306231
Original DPs,policy,paired,d_gender,21,-0.013560604625938158,0.4444444444444444,81,1,20,0.004546452494861848
Original DPs,policy,paired,d_gender,10,0.026784364891457614,0.5077720207253886,193,1,20,0.00252920401899206
Original DPs,policy,paired,d_gender,9,-0.018456851528370836,0.3819444444444444,144,1,20,0.004791264839983482
Original DPs,policy,paired,d_gender,16,-0.017952911333418326,0.375,48,1,20,0.004766067830235856
Original DPs,policy,paired,d_gender,14,-2.638265351534416e-4,0.48872180451127817,133,1,20,0.0038816135903226127
Original DPs,policy,paired,d_gender,11,-0.0073803341266575895,0.4166666666666667,48,1,20,0.00423743896989782
Original DPs,policy,paired,d_education,12,-0.004541088723327378,0.4838709677419355,31,1,20,0.015450011629344798
Original DPs,policy,paired,d_education,13,0.017765117568699754,0.5515463917525774,194,1,20,0.014334701314743441
Original DPs,policy,paired,d_education,20,8.88177043714402e-4,0.40540540540540543,259,1,20,0.01517854834099271
Original DPs,policy,paired,d_education,15,0.011156477439274495,0.5977011494252874,87,1,20,0.014665133321214704
Original DPs,policy,paired,d_education,17,0.016457295671838387,0.5102040816326531,98,1,20,0.01440009240958651
Original DPs,policy,paired,d_education,18,0.006424488879188037,0.4751552795031056,322,1,20,0.014901732749219026
Original DPs,policy,paired,d_education,1,-0.016448132631703347,0.5,62,1,20,0.016045363824763598
Original DPs,policy,paired,d_education,2,0.0037472382521972127,0.5116279069767442,129,1,20,0.01503559528056857
Original DPs,policy,paired,d_education,3,0.008322053168433725,0.5084745762711864,59,1,20,0.014806854534756744
Original DPs,policy,paired,d_education,4,0.012486417858085306,0.5666666666666667,60,1,20,0.014598636300274165
Original DPs,policy,paired,d_education,5,0.13998936261689018,0.7916666666666666,48,1,20,0.00822348906233392
Original DPs,policy,paired,d_education,6,0.018411331732819385,0.62,100,1,20,0.01430239060653746
Original DPs,policy,paired,d_education,7,0.0021841012129711836,0.512,125,1,20,0.01511375213252987
Original DPs,policy,paired,d_education,8,-0.0022897981298387014,0.46808510638297873,94,1,20,0.015337447099670365
Original DPs,policy,paired,d_education,19,0.017623859973920013,0.4878048780487805,82,1,20,0.014341764194482428
Original DPs,policy,paired,d_education,21,0.02973086356363161,0.5783132530120482,83,1,20,0.01373641401499685
Original DPs,policy,paired,d_education,10,0.014844092633666124,0.5053763440860215,186,1,20,0.014480752561495122
Original DPs,policy,paired,d_education,9,0.0033405977602375715,0.4552238805970149,134,1,20,0.01505592730516655
Original DPs,policy,paired,d_education,16,-0.014831074474567921,0.3958333333333333,48,1,20,0.015964510916906826
Original DPs,policy,paired,d_education,14,0.006225967575643663,0.5454545454545454,132,1,20,0.014911658814396248
Original DPs,policy,paired,d_education,11,0.032971794871794864,0.7,50,1,20,0.013574367449588686
Original DPs,policy,paired,d_income,12,0.05495041255779459,0.7142857142857143,28,1,10,8.099170582835158e-4
