event_id,dimension,participants,n_advantaged,n_disadvantaged,n_missing,threshold,tied_at_threshold
echo_mixed,education,308,0,0,308,NA,NA
echo_mixed,income,308,0,0,308,NA,NA
echo_mixed,combined,308,0,0,308,NA,NA
echo_con,gender,127,86,41,0,NA,NA
echo_con,education,127,0,0,127,NA,NA
echo_con,income,127,0,0,127,NA,NA
echo_con,combined,127,0,0,127,NA,NA
echo_lab,gender,218,99,117,2,NA,NA
echo_lab,education,218,0,0,218,NA,NA
echo_lab,income,218,0,0,218,NA,NA
echo_lab,combined,218,0,0,218,NA,NA
whatsapp_gen_HH,gender,200,134,66,0,NA,NA
whatsapp_gen_HH,education,200,51,149,0,4,91
whatsapp_gen_HH,income,200,100,100,0,57500,0
whatsapp_gen_HH,combined,200,22,178,0,NA,NA
whatsapp_igr_HH,gender,186,100,86,0,NA,NA
whatsapp_igr_HH,education,186,32,154,0,4,74
whatsapp_igr_HH,income,186,86,100,0,50000,8
whatsapp_igr_HH,combined,186,9,177,0,NA,NA
whatsapp_gen_HM,gender,160,122,38,0,NA,NA
whatsapp_gen_HM,education,160,45,115,0,4,64
whatsapp_gen_HM,income,160,75,85,0,35000,6
whatsapp_gen_HM,combined,160,23,137,0,NA,NA
whatsapp_igr_HM,gender,166,112,54,0,NA,NA
whatsapp_igr_HM,education,166,31,135,0,4,77
whatsapp_igr_HM,income,166,83,83,0,33500,0
whatsapp_igr_HM,combined,166,11,155,0,NA,NA
cross_party_2021,gender,294,154,139,1,NA,NA
cross_party_2021,education,294,0,0,294,NA,NA
cross_party_2021,income,294,0,0,294,NA,NA
cross_party_2021,combined,294,0,0,294,NA,NA
consensus_1,gender,116,38,78,0,NA,NA
consensus_1,education,116,0,0,116,NA,NA
consensus_1,income,116,0,0,116,NA,NA
consensus_1,combined,116,0,0,116,NA,NA
consensus_2,gender,136,44,92,0,NA,NA
consensus_2,education,136,0,0,136,NA,NA
consensus_2,income,136,0,0,136,NA,NA
consensus_2,combined,136,0,0,136,NA,NA
diplomacy_control,gender,105,41,63,1,NA,NA
diplomacy_control,education,105,0,0,105,NA,NA
diplomacy_control,income,105,0,0,105,NA,NA
diplomacy_control,combined,105,0,0,105,NA,NA
diplomacy_experimental,gender,105,41,63,1,NA,NA
diplomacy_experimental,education,105,0,0,105,NA,NA
diplomacy_experimental,income,105,0,0,105,NA,NA
diplomacy_experimental,combined,105,0,0,105,NA,NA
shizuoka_2019,gender,65,35,30,0,NA,NA
shizuoka_2019,education,65,32,32,1,2.5,0
shizuoka_2019,income,65,0,0,65,NA,NA
shizuoka_2019,combined,65,0,0,65,NA,NA
