comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies
New DPs,policy,paired,d_gender,a1r,0.004103222169032152,0.4884098097260289,8355,2
New DPs,policy,paired,h,a1r,0.032159264141085595,0.6686976239462064,8664,2
New DPs,policy,paired,p,a1r,0.019220831530223192,0.5956588305825724,8580,2
New DPs,policy,paired,p_absolute,a1r,0.04321033034844125,0.6630215883407373,8705,2
New DPs,policy,paired,d_combined,a1r,0.006010000769075889,0.4911177917463788,3659,1
New DPs,policy,paired,d_education,a1r,0.00912152330878268,0.5147979029257568,5913,1
New DPs,policy,paired,d_income,a1r,0.0049809711521855374,0.48832105345665466,6379,1
Other group discussions,policy,paired,d_education,celaya_2018,-0.018612637362637362,0.3269230769230769,52,1
Other group discussions,policy,paired,d_gender,celaya_2018,-0.010802469135802469,0.4074074074074074,54,1
Other group discussions,policy,paired,d_income,celaya_2018,-0.01680143755615453,0.3584905660377358,53,1
Other group discussions,policy,paired,h,celaya_2018,-0.015039695306280335,0.3392857142857143,56,1
Other group discussions,policy,paired,p,celaya_2018,-0.030592991913746634,0.2830188679245283,53,1
Other group discussions,policy,paired,p_absolute,celaya_2018,-0.013095238095238096,0.375,56,1
Other group discussions,policy,paired,d_combined,celaya_2018,-0.014444444444444442,0.36666666666666664,30,1
Other group discussions,policy,paired,d_gender,consensus,-0.01698424796747966,0.33739837398373984,65,2
Other group discussions,policy,paired,h,consensus,0.018042926656092473,0.4170296167247387,138,2
Other group discussions,policy,paired,p,consensus,-0.005630630630630633,0.22972972972972974,74,1
Other group discussions,policy,paired,p_absolute,consensus,0.024136178861788617,0.34146341463414637,82,1
Other group discussions,affect,paired,h,cross_party_2021,0.018540842206622322,0.48677248677248675,1323,1
Other group discussions,affect,paired,p,cross_party_2021,-0.015200320512820498,0.42788461538461536,1248,1
Other group discussions,affect,paired,p_absolute,cross_party_2021,0.01060090702947846,0.5003779289493575,1323,1
Other group discussions,affect,paired,d_gender,cross_party_2021,-0.002724358974358953,0.42948717948717946,624,1
Other group discussions,policy,paired,h,diplomacy_2020,0.09586914506708956,0.6545454545454545,55,1
Other group discussions,policy,paired,p,diplomacy_2020,0.017045454545454534,0.36363636363636365,44,1
Other group discussions,policy,paired,p_absolute,diplomacy_2020,0.06666666666666667,0.509090909090909,55,1
Other group discussions,policy,paired,d_gender,diplomacy_2020,-0.026960784313725474,0.2647058823529412,34,1
Other group discussions,policy,paired,d_gender,echo_2021,-0.012783767595088348,0.42452830188679247,318,1
Other group discussions,policy,paired,h,echo_2021,0.030563999599633192,0.6522988505747126,348,1
Other group discussions,policy,paired,p,echo_2021,0.027994913098770672,0.6023738872403561,337,1
Other group discussions,policy,paired,p_absolute,echo_2021,0.039562465790914075,0.6551724137931034,348,1
Other group discussions,policy,paired,h,hongkong_2020,-0.09247614723523742,0,2,1
Other group discussions,policy,paired,p,hongkong_2020,0,0,1,1
Other group discussions,policy,paired,p_absolute,hongkong_2020,0.016666666666666663,0.5,2,1
Other group discussions,policy,paired,d_combined,oboe_2010,-0.0044265523169805246,0.4332493702770781,397,1
Other group discussions,policy,paired,d_education,oboe_2010,0.0025259411645881737,0.44608171466845276,1493,1
Other group discussions,policy,paired,d_gender,oboe_2010,0.005135694628728641,0.4324045407636739,969,1
Other group discussions,policy,paired,h,oboe_2010,0.008476485300053646,0.4434692823954569,1937,1
Other group discussions,policy,paired,p,oboe_2010,-0.019434724720028523,0.39299397920087575,1827,1
Other group discussions,policy,paired,p_absolute,oboe_2010,0.027521170015505362,0.4874118831822759,1986,1
Other group discussions,policy,paired,d_income,oboe_2010,0.005872601956888649,0.4407806191117093,1486,1
Other group discussions,policy,paired,d_education,shizuoka_2019,0.027089947089947095,0.52,75,1
Other group discussions,policy,paired,d_gender,shizuoka_2019,-0.0046383319409635144,0.40350877192982454,57,1
Other group discussions,policy,paired,h,shizuoka_2019,0.007736137684510636,0.4875,80,1
Other group discussions,policy,paired,p,shizuoka_2019,-0.014448514448514442,0.41025641025641024,78,1
Other group discussions,policy,paired,p_absolute,shizuoka_2019,0.009188988095238111,0.4375,80,1
